timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1244762071,0.0018465202,-0.000485152,-2.233166e-05,-0.0008033439,-0.00062880374,-4.3437263e-05,0.0
1244922078,-0.0009840261,0.00031660497,0.0005243962,-0.0011833813,-0.0009342329,-6.557585e-05,0.0
1244954040,0.0011760332,-7.5828284e-06,-0.0007504971,-0.0015246362,-0.0012064639,-8.437963e-05,0.0
1244986129,0.00036713667,-0.0013471544,-0.0006312722,-0.0018684678,-0.0014799151,-0.00010040164,0.0
1245018092,0.0024415124,0.0010865275,-0.00013847827,-0.0022151538,-0.0017565863,-0.00011514907,0.0
1245050073,0.0031316597,0.0017810632,-0.0007256524,-0.002564815,-0.0020351498,-0.00013332024,0.0
1245082055,0.0048772506,0.002504997,-0.005462,-0.0029174697,-0.0023169874,-0.00013853112,0.0
1245114038,-0.0020396356,0.0005226433,0.0011930686,-0.0032654307,-0.0026036776,-0.00016487604,0.0
1245146077,-0.007686481,-0.00893729,0.0047095357,-0.0036114184,-0.00288016,-0.00016931538,0.0
1245178231,-0.01843437,-0.00869835,-0.002665163,-0.0039513665,-0.0031599563,-0.00020177921,0.0
1245210057,-0.03043026,-0.010813203,0.0007306216,-0.0042437306,-0.0034265313,-0.0002665301,0.0
1245242036,-0.06027621,-0.015369866,-0.029535415,-0.0045040012,-0.0036614216,-8.4250525e-05,0.0
1245274089,-0.070947245,-0.014752228,0.023530573,-0.0046821027,-0.0039331196,-0.00028226007,0.0
1245306039,-0.047086585,0.010827271,-0.027270874,-0.004983579,-0.004215625,-0.0001493069,0.0
1245338038,0.007552157,0.035004668,0.023567423,-0.005246276,-0.0045246016,-0.0002802162,0.0
1245370040,0.043599445,0.047885202,0.012250462,-0.005552657,-0.0048657474,-0.00038845977,0.0
1245402115,0.085600495,0.05067248,-0.001546089,-0.005988954,-0.0052815736,-0.00046611603,0.0
1245434070,0.07944605,0.03442883,-0.013390644,-0.006524421,-0.0056686825,-0.00041235442,0.0
1245466088,0.05783895,0.010602903,0.004926245,-0.0070007974,-0.005994678,-0.00043279957,0.0
1245498034,0.03417368,-0.008265005,-0.004068836,-0.0074295267,-0.0063298903,-0.00047244295,0.0
1245530117,-0.009753307,-0.038750965,-0.0015215497,-0.007793606,-0.0066237086,-0.00044462038,0.0
1245562072,-0.0442063,-0.049672563,-0.00043378116,-0.008138556,-0.0068731704,-0.00047873022,0.0
1245594079,-0.08204172,-0.0497972,-0.0041173967,-0.0084106745,-0.007086471,-0.00046501934,0.0
1245622035,-0.0753261,-0.036664113,0.0022147482,-0.00862225,-0.0072871754,-0.00051055924,0.0
1245654047,-0.06881391,-0.030893514,-0.001309628,-0.00883058,-0.0075219595,-0.00051600387,0.0
1245686046,-0.041763198,-0.012189675,0.0014593438,-0.0090794545,-0.0077934824,-0.00056891475,0.0
