timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
1244762606,25.124893,25.115131,0.0744,0.06738605,0.0,21.70891,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1245254538,25.0845,25.104446,0.062,0.06764359,0.0,21.71825,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1245770750,24.55938,25.078243,0.062,0.06752815,0.0,21.727888,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1246274624,24.660364,24.797615,0.062,0.06759253,0.0,21.737307,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1246766726,24.498789,24.702341,0.062,0.06568046,0.0,21.74611,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1247270595,24.478592,24.630037,0.0744,0.06831619,0.0,21.755985,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1247774472,24.418003,24.573944,0.0744,0.0678233,0.0,21.765404,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1248278562,24.418003,24.523275,0.0744,0.06741906,0.0,21.774742,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1248782587,24.4382,24.488358,0.062,0.06676163,0.0,21.78409,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1249286550,24.4382,24.46811,0.049599998,0.06622093,0.0,21.793354,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1249790489,24.397806,24.454813,0.0744,0.0668008,0.0,21.80273,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1253318597,24.357412,24.395205,0.0744,0.06788689,0.0,21.868591,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1253822548,24.337215,24.369995,0.062,0.06733886,0.0,21.877928,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1254326586,24.256428,24.342876,0.0744,0.06723441,0.0,21.887354,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1254830505,24.317019,24.32766,0.0744,0.06680941,0.0,21.896605,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1255334510,24.317019,24.323645,0.062,0.065591805,0.0,21.90574,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1255838547,24.37761,24.329433,0.0744,0.065238535,0.0,21.91488,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1256342620,24.357412,24.337715,0.062,0.06638118,0.0,21.9243,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1256846489,24.357412,24.34279,0.062,0.066926904,0.0,21.93364,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1257350729,24.357412,24.336277,0.062,0.06592967,0.0,21.942772,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1257854621,24.276625,24.3321,0.049599998,0.06562699,0.0,21.951948,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1258358610,24.256428,24.318125,0.062,0.0659693,0.0,21.961208,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1258862718,24.296822,24.306,0.062,0.06518668,0.0,21.97026,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1259366499,24.256428,24.288666,0.0744,0.065824606,0.0,21.979519,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1259870561,24.317019,24.28652,0.049599998,0.0664232,0.0,21.988945,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1260374591,24.296822,24.29316,0.0744,0.066646025,0.0,21.998283,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1260878487,24.317019,24.300228,0.0868,0.06707108,0.0,22.00771,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1261382539,24.276625,24.29503,0.062,0.06747792,0.0,22.01722,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1261886483,24.23623,24.27584,0.062,0.067169756,0.0,22.026602,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1262390625,24.135246,24.244577,0.049599998,0.06483154,0.0,22.035574,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1262894563,24.11505,24.21502,0.062,0.06553617,0.0,22.044796,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1263398571,24.17564,24.200161,0.0744,0.06709783,0.0,22.054388,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1263902581,24.155443,24.192434,0.062,0.06648855,0.0,22.063646,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1264406499,24.155443,24.18203,0.0744,0.065741226,0.0,22.072693,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1264910474,24.094852,24.167646,0.062,0.06617925,0.0,22.082035,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1265414588,24.135246,24.162535,0.062,0.06605472,0.0,22.09125,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1265918490,24.256428,24.180307,0.062,0.06537205,0.0,22.100336,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1266422606,24.216034,24.193174,0.062,0.064548165,0.0,22.109308,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1266926510,24.216034,24.20202,0.062,0.06534856,0.0,22.118525,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1267430555,24.155443,24.202835,0.062,0.064728506,0.0,22.127457,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1267934575,24.216034,24.210012,0.062,0.06493084,0.0,22.136663,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1268438530,24.216034,24.21241,0.0744,0.06629896,0.0,22.146088,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
1268942722,24.23623,24.214289,0.062,0.06697006,0.0,22.15547,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
