timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
1248344046,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.031157922,0.5730028,-1.0,-0.029734697,0.514778,-5.0496407,0.0,0.0,0.0
1248443585,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.040170263,0.55224293,-1.0,-0.052625693,0.5059498,-5.0284834,0.0,0.0,0.0
1248544082,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.049368788,0.5283502,-1.0,-0.017573,0.4261925,-5.0634003,0.0,0.0,0.0
1248648513,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.055342436,0.5020275,-1.0,-0.051909517,0.42140007,-5.0407124,0.0,0.0,0.0
1248751932,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.062174056,0.47557712,-1.0,-0.07299621,0.38927805,-5.031146,0.0,0.0,0.0
1248851584,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.06380665,0.4490153,-1.0,-0.104039,0.35707954,-5.016823,0.0,0.0,0.0
1248955946,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.06417358,0.4208254,-1.0,-0.1005096,0.3673932,-5.000578,0.0,0.0,0.0
1249056154,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.064572215,0.3929254,-1.0,-0.12862264,0.3556058,-5.0105224,0.0,0.0,0.0
1249155706,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.06542566,0.36457515,-1.0,-0.116086125,0.3277265,-4.9978995,0.0,0.0,0.0
1249259584,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.06435478,0.3349103,-1.0,-0.16671619,0.34884903,-4.945651,0.0,0.0,0.0
1249360465,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.06301346,0.3063571,-1.0,-0.15477881,0.2994242,-4.9783106,0.0,0.0,0.0
1249459545,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.05866878,0.28089693,-1.0,-0.18544383,0.31974205,-4.927908,0.0,0.0,0.0
1249563838,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.054738138,0.25733212,-1.0,-0.192775,0.3163808,-4.93049,0.0,0.0,0.0
1249663733,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.04971714,0.23617001,-1.0,-0.20181338,0.33483773,-4.904782,0.0,0.0,0.0
1249768443,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.04187398,0.21624002,-1.0,-0.19982794,0.34215528,-4.9154997,0.0,0.0,0.0
1251091340,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.04213264,0.10315699,-1.0016354,-0.1557822,0.36305463,-4.865394,0.0,0.0,0.0
1252515863,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.009557747,0.19397712,-1.0887474,0.12269063,0.5085074,-4.8658834,0.0,0.0,0.0
1252928838,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.072423525,0.1727416,-1.1132696,0.103955664,0.42441434,-4.9494886,0.0,0.0,0.0
1253032079,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.08213212,0.16275848,-1.1197873,0.078517,0.44322413,-4.934079,0.0,0.0,0.0
1253131593,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.08937008,0.14911427,-1.1261661,0.07640809,0.41155225,-4.951328,0.0,0.0,0.0
1253235632,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.09491021,0.13505964,-1.1327218,0.057637185,0.39175293,-4.981921,0.0,0.0,0.0
1253336006,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.09873893,0.11871467,-1.1391996,0.022477845,0.39534146,-5.0353675,0.0,0.0,0.0
1253435688,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.1015543,0.10288701,-1.1456418,0.015591775,0.35029963,-5.0731606,0.0,0.0,0.0
1253539637,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.10632751,0.0838449,-1.1522347,-0.00076657307,0.3080692,-5.1066947,0.0,0.0,0.0
1253640394,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.10715604,0.06591897,-1.1586388,-0.0039674286,0.30559027,-5.125759,0.0,0.0,0.0
1253744171,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.104246445,0.047291804,-1.1654375,-0.03904926,0.27845505,-5.113345,0.0,0.0,0.0
1253848814,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.09998693,0.028497934,-1.172048,-0.03683299,0.26269794,-5.147788,0.0,0.0,0.0
1253951906,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.09463797,0.008994674,-1.1784323,-0.07751578,0.23950346,-5.14929,0.0,0.0,0.0
1254051607,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.08798256,-0.009802818,-1.184437,-0.097898506,0.23721996,-5.191525,0.0,0.0,0.0
1254155607,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.08028708,-0.029964732,-1.1907086,-0.10576267,0.18547446,-5.203397,0.0,0.0,0.0
1254255991,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.072333835,-0.048924398,-1.1965915,-0.11577159,0.21173644,-5.213392,0.0,0.0,0.0
1254360479,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.063597366,-0.067769,-1.2026173,-0.12527362,0.17417118,-5.2348614,0.0,0.0,0.0
1254464045,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.054638933,-0.0873538,-1.2087932,-0.1313672,0.14896084,-5.2141714,0.0,0.0,0.0
1254563668,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.045808695,-0.10603261,-1.2147933,-0.102469176,0.12799747,-5.215462,0.0,0.0,0.0
1254667622,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.0359488,-0.12636395,-1.2210522,-0.116769224,0.12133856,-5.181634,0.0,0.0,0.0
1254768418,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.025586532,-0.14695983,-1.2269866,-0.15037544,0.10802368,-5.174319,0.0,0.0,0.0
1254867371,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.014222694,-0.16806126,-1.2331392,-0.18416853,0.10702262,-5.13451,0.0,0.0,0.0
1254971595,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.0014917135,-0.18986845,-1.2397562,-0.18724224,0.09913849,-5.118172,0.0,0.0,0.0
1255071827,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.010935759,-0.20972867,-1.2463217,-0.1726909,0.031982407,-5.12386,0.0,0.0,0.0
1255176111,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.02392857,-0.2270811,-1.2531798,-0.1943755,0.039911848,-5.0870504,0.0,0.0,0.0
1255275641,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.0370224,-0.24204625,-1.2599784,-0.2127598,0.05264025,-5.0448365,0.0,0.0,0.0
1255376734,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.049599815,-0.2552991,-1.2669265,-0.19599408,0.017475067,-5.0194626,0.0,0.0,0.0
1255480398,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.06091156,-0.2665252,-1.2743952,-0.17295054,0.039047763,-5.0104065,0.0,0.0,0.0
1255584059,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.07021563,-0.2742814,-1.2820126,-0.17637052,0.060234435,-5.0041704,0.0,0.0,0.0
1255683534,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.07779334,-0.28120318,-1.2861111,-0.17343408,0.080481194,-4.9379225,0.0,0.0,0.0
1255787590,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.08409495,-0.28463688,-1.2861111,-0.15437959,0.08748172,-4.9156213,0.0,0.0,0.0
1255888375,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.0890548,-0.28578657,-1.2861111,-0.17140087,0.111892946,-4.824139,0.0,0.0,0.0
1255987352,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.09313402,-0.28082445,-1.2861111,-0.2260485,0.12730612,-4.8789954,0.0,0.0,0.0
1256091402,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.09870541,-0.27022165,-1.2861111,-0.19277622,0.24498153,-4.8353343,0.0,0.0,0.0
1256191836,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.10449559,-0.25427985,-1.2861111,-0.23899245,0.3061856,-4.8423333,0.0,0.0,0.0
1256291416,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.111884855,-0.23426017,-1.2861111,-0.26323983,0.30787417,-4.8511133,0.0,0.0,0.0
1256395597,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.12068655,-0.2092811,-1.2861111,-0.25842342,0.36491913,-4.8450847,0.0,0.0,0.0
1256496034,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.13134237,-0.18534574,-1.2861111,-0.33585054,0.40284884,-4.8046827,0.0,0.0,0.0
1256600075,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.1433866,-0.15871234,-1.2861111,-0.3430367,0.4047637,-4.831934,0.0,0.0,0.0
1256703736,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.16016373,-0.13196568,-1.2861111,-0.3527902,0.43287376,-4.8452635,0.0,0.0,0.0
1256803616,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.1758188,-0.10518913,-1.2861111,-0.40022123,0.43191653,-4.816605,0.0,0.0,0.0
1256907336,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.19246909,-0.08189883,-1.2861111,-0.38329005,0.41523597,-4.819253,0.0,0.0,0.0
1257008233,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.20718782,-0.06045947,-1.2861111,-0.40767005,0.41913375,-4.870842,0.0,0.0,0.0
1257107429,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.22238672,-0.038923167,-1.2861111,-0.4450296,0.3987247,-4.9348335,0.0,0.0,0.0
1257211664,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.23723817,-0.018994998,-1.2861111,-0.40930322,0.39427033,-4.980507,0.0,0.0,0.0
1257311732,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.24961038,-0.0049584867,-1.2861111,-0.44282225,0.4108594,-4.93096,0.0,0.0,0.0
1257411517,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.26022497,0.0083822245,-1.2861111,-0.45795172,0.40250427,-4.88598,0.0,0.0,0.0
1257515666,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.2700006,0.019400882,-1.2861111,-0.4645739,0.46701106,-4.8073626,0.0,0.0,0.0
1257616988,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.2773423,0.030334378,-1.2861111,-0.48251903,0.4395356,-4.909209,0.0,0.0,0.0
1257720038,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.2816086,0.04114194,-1.2861111,-0.45090884,0.44371986,-4.932153,0.0,0.0,0.0
1257825460,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.28368378,0.052213144,-1.2861111,-0.40680218,0.4187191,-5.0007186,0.0,0.0,0.0
1257928068,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.28244755,0.06277518,-1.2861111,-0.43443528,0.45287654,-4.9425673,0.0,0.0,0.0
1258027544,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.27892688,0.07331638,-1.2861111,-0.39679423,0.48284695,-4.9641404,0.0,0.0,0.0
1258131540,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.27402228,0.08264446,-1.2861111,-0.3664625,0.46763986,-4.963855,0.0,0.0,0.0
1258232189,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.2672654,0.09228782,-1.2861111,-0.32259014,0.48414946,-4.946852,0.0,0.0,0.0
1258336464,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.25862905,0.10156789,-1.2861111,-0.31189474,0.45446205,-5.0298777,0.0,0.0,0.0
1258440145,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.24805388,0.10912385,-1.2861111,-0.3391456,0.467862,-5.0291767,0.0,0.0,0.0
1258539624,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.23700306,0.11395097,-1.2861111,-0.2853012,0.4535895,-5.024548,0.0,0.0,0.0
1258643594,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.22490537,0.11591787,-1.2861111,-0.26817095,0.42087886,-5.033611,0.0,0.0,0.0
1258744189,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.21360178,0.11390204,-1.2861111,-0.3052171,0.41342708,-5.0365295,0.0,0.0,0.0
1258843420,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.20117204,0.10963664,-1.2861111,-0.28380144,0.36803296,-5.0056887,0.0,0.0,0.0
1258947628,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.18638627,0.1020997,-1.2861111,-0.29271394,0.37212893,-5.0321627,0.0,0.0,0.0
1259047741,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.17349946,0.09283233,-1.2861111,-0.30693838,0.33189774,-5.068306,0.0,0.0,0.0
1259147591,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.1626457,0.08162794,-1.2861111,-0.28407753,0.32802933,-5.1139913,0.0,0.0,0.0
1259251601,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.15236406,0.06771827,-1.2861111,-0.3124894,0.29980037,-5.13195,0.0,0.0,0.0
1259352797,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.14129512,0.05121746,-1.2861111,-0.2773618,0.24918202,-5.1565986,0.0,0.0,0.0
1259455860,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.12918746,0.033485413,-1.2861111,-0.23654251,0.23919839,-5.084709,0.0,0.0,0.0
1259560000,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.11344497,0.013313532,-1.2861111,-0.22385012,0.23150334,-5.041227,0.0,0.0,0.0
1259659416,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.09699762,-0.004442072,-1.2861111,-0.25396064,0.25577977,-4.9792914,0.0,0.0,0.0
1259763552,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.07900555,-0.021288062,-1.2861111,-0.19283585,0.24745269,-4.9880896,0.0,0.0,0.0
1259864016,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.058491204,-0.036678124,-1.2861111,-0.18761635,0.2296718,-4.976171,0.0,0.0,0.0
1259963647,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.03823235,-0.049311254,-1.2861111,-0.16125779,0.26238742,-4.968618,0.0,0.0,0.0
1260067623,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.019048,-0.06015143,-1.2861111,-0.19131364,0.24073577,-4.9424906,0.0,0.0,0.0
1260168190,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.0026685952,-0.06833343,-1.2861111,-0.18838982,0.26057485,-4.9235973,0.0,0.0,0.0
1260267879,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.011043119,-0.07328014,-1.2861111,-0.20131183,0.26466432,-4.929253,0.0,0.0,0.0
1260371658,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.022768902,-0.075671956,-1.2861111,-0.18864444,0.29587352,-4.8831964,0.0,0.0,0.0
1260472052,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.03283627,-0.07720127,-1.2861111,-0.20445794,0.32284817,-4.8587627,0.0,0.0,0.0
1260576203,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.040249083,-0.07648735,-1.2861111,-0.19774547,0.2793747,-4.895537,0.0,0.0,0.0
1260679914,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.047692705,-0.073776625,-1.2861111,-0.1655944,0.3253345,-4.845099,0.0,0.0,0.0
1260779847,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.053222418,-0.06834883,-1.2861111,-0.2117203,0.36971816,-4.814935,0.0,0.0,0.0
1260883521,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.056658838,-0.06181574,-1.2861111,-0.22556202,0.40302873,-4.8022118,0.0,0.0,0.0
1260983753,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.05726404,-0.054190923,-1.2861111,-0.24885306,0.38080192,-4.871791,0.0,0.0,0.0
1261083368,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.05398481,-0.05008769,-1.2861111,-0.2714883,0.36555526,-4.8799,0.0,0.0,0.0
1261187354,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.04670336,-0.048561096,-1.2861111,-0.3335829,0.30141705,-4.935396,0.0,0.0,0.0
1261288044,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.03670485,-0.049330283,-1.2861111,-0.3746082,0.2681897,-4.9456835,0.0,0.0,0.0
1261391946,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.022160983,-0.05342898,-1.2861111,-0.39665323,0.2342471,-5.0356545,0.0,0.0,0.0
1261495876,6.297444,-9.511015,-30.392174,-0.11049406,0.0,0.007343054,-0.061914492,-1.2861111,-0.44005877,0.13710575,-5.069971,0.0,0.0,0.0
1261595559,6.297444,-9.511015,-30.392174,-0.11049406,0.0,-0.009766125,-0.073763944,-1.2861111,-0.46615496,0.091463536,-5.109979,0.0,0.0,0.0
