timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1244900787,47.83655,44.41,100751.734,1.1970973
1244929031,48.003017,44.399998,100749.74,1.1970736
1244940870,48.42315,44.399998,100744.734,1.1970141
1244953149,48.338593,44.399998,100745.74,1.1970261
1244979891,47.752,44.41,100752.74,1.1971092
1244992136,47.670086,44.41,100753.74,1.1971211
1245004809,48.087574,44.41,100748.74,1.1970618
1245028778,47.92111,44.399998,100750.734,1.1970854
1245041424,48.003017,44.399998,100749.74,1.1970736
1245052877,48.42315,44.399998,100744.734,1.1970141
1245076810,47.92111,44.399998,100750.734,1.1970854
1245089457,48.42315,44.399998,100744.734,1.1970141
1245100949,47.585533,44.399998,100754.74,1.1971331
1245125687,48.172127,44.41,100747.74,1.1970499
1245137701,47.670086,44.41,100753.74,1.1971211
1245149007,47.92111,44.41,100750.734,1.1970854
1245173428,48.087574,44.41,100748.74,1.1970618
1245185532,47.585533,44.41,100754.74,1.1971331
1245197272,47.92111,44.41,100750.734,1.1970854
1245221231,47.752,44.41,100752.74,1.1971092
1245233839,47.752,44.41,100752.74,1.1971092
1245245674,48.338593,44.41,100745.74,1.1970261
1245269654,48.172127,44.41,100747.74,1.1970499
1245281637,47.83655,44.41,100751.734,1.1970973
1245292890,47.670086,44.41,100753.74,1.1971211
1245316782,47.752,44.41,100752.74,1.1971092
1245329508,48.087574,44.41,100748.74,1.1970618
1245340930,47.752,44.41,100752.74,1.1971092
1245365607,48.087574,44.41,100748.74,1.1970618
1245377833,48.25404,44.41,100746.74,1.1970379
1245389669,48.003017,44.41,100749.74,1.1970736
1245413670,47.752,44.41,100752.74,1.1971092
1245427826,48.087574,44.41,100748.74,1.1970618
1245440641,47.752,44.41,100752.74,1.1971092
1245465441,47.50362,44.41,100755.74,1.1971449
1245477688,47.83655,44.41,100751.734,1.1970973
1245489608,47.92111,44.41,100750.734,1.1970854
1245513521,47.92111,44.41,100750.734,1.1970854
1245525627,47.585533,44.41,100754.74,1.1971331
1245537482,47.419067,44.41,100756.74,1.1971568
1245561228,47.92111,44.41,100750.734,1.1970854
1245572815,48.25404,44.41,100746.74,1.1970379
1245585425,47.92111,44.41,100750.734,1.1970854
1245609132,47.83655,44.41,100751.734,1.1970973
1245620997,47.92111,44.41,100750.734,1.1970854
1245633148,47.670086,44.41,100753.74,1.1971211
1245657194,47.92111,44.41,100750.734,1.1970854
1245668782,47.83655,44.41,100751.734,1.1970973
1245681466,47.752,44.41,100752.74,1.1971092
1245705312,47.92111,44.41,100750.734,1.1970854
1245716835,47.83655,44.41,100751.734,1.1970973
1245731678,48.087574,44.41,100748.74,1.1970618
1245756901,47.92111,44.399998,100750.734,1.1970854
1245769691,47.670086,44.399998,100753.74,1.1971211
1245781679,47.92111,44.399998,100750.734,1.1970854
1245809269,48.25404,44.399998,100746.74,1.1970379
1245820914,48.087574,44.399998,100748.74,1.1970618
1245833491,47.83655,44.399998,100751.734,1.1970973
1245857287,48.003017,44.41,100749.74,1.1970736
1245868896,48.25404,44.41,100746.74,1.1970379
1245881224,48.25404,44.41,100746.74,1.1970379
1245905120,48.25404,44.41,100746.74,1.1970379
