timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
1243385326,3,-1,0,23,0,0,1,0,0,0,0,0,0,0
1271604363,3,-1,0,23,0,0,1,0,0,0,0,0,0,0
1271677330,3,0,1,23,0,0,1,0,0,0,0,0,0,0
1271788045,3,1,2,23,0,0,1,0,0,0,0,0,0,0
1271853813,3,2,3,23,0,0,1,0,0,0,0,0,0,0
1310069298,3,3,4,23,0,0,1,0,0,0,0,0,0,0
1310093124,3,4,5,23,0,0,1,0,0,0,0,0,0,0
1365082368,3,5,6,23,0,0,1,0,0,0,0,0,0,0
1376857275,3,6,7,23,0,0,1,0,0,0,0,0,0,0
1401911731,3,7,8,23,0,0,1,0,0,0,0,0,0,0
1434654052,3,8,9,23,0,0,1,0,0,0,0,0,0,0
1459888489,3,9,10,23,0,0,1,0,0,0,0,0,0,0
1499451835,3,10,11,23,0,0,1,0,0,0,0,0,0,0
1528506009,3,11,12,23,0,0,1,0,0,0,0,0,0,0
1540116765,3,12,19,23,13,1,1,0,0,0,0,0,1,0
1594792051,3,19,20,23,0,0,1,0,0,0,0,0,0,0
1594858720,3,20,21,23,0,0,1,0,0,0,0,0,0,0
1616658815,3,21,22,23,0,0,1,0,0,0,0,0,0,0
1667504844,3,22,22,23,0,0,1,0,1,0,0,0,0,0
