timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1244762829,8.9270994e-05,-0.0010593627,-0.00073999085,0.9984553,-9.455961e-05,0.0077032843,-0.055025313,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1244930858,0.00029618852,-0.0011622198,-9.784597e-05,0.9984537,-0.00019191376,0.0077332095,-0.05504972,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1244974745,0.0008155834,-0.00072702765,-0.0003240582,0.9984529,-0.00017721712,0.007730858,-0.055064496,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245018797,0.0025348421,0.00021641888,-0.00022989282,0.99845207,-0.00014082363,0.007742678,-0.055078533,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245062645,-0.035194024,-0.008208809,-0.016726766,0.9984496,-0.00014605648,0.007757113,-0.055120256,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245102804,0.031440422,-0.0043806136,0.012071274,0.9984521,-8.671786e-05,0.0077443337,-0.05507673,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245146770,-0.0012024082,-0.033843618,0.0001594587,0.9984512,-0.00025300536,0.0076672304,-0.05510403,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245186818,-0.045253865,0.004060505,0.02251352,0.99845505,-0.0006972192,0.0075955708,-0.055040114,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245230789,0.021263905,0.016704528,-0.04140225,0.9984327,-0.0016145245,0.0073115383,-0.055462252,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245274526,-0.030544495,-0.0022180583,-0.026613947,0.9984558,-0.0033968585,0.0069547636,-0.055010922,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245318740,-0.021358244,0.01002894,0.03855381,0.9984402,-0.004312011,0.007201013,-0.055198364,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245362799,0.05186414,0.05797507,0.012314822,0.998455,-0.003734424,0.008005673,-0.054859806,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245402789,0.11227187,0.057375833,-0.01050114,0.99845475,-0.002292546,0.0089405095,-0.054798625,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245446770,0.07480944,0.03667624,0.0037099856,0.9984397,-0.00041119772,0.009696317,-0.054990947,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245486629,0.045178607,-0.0017362926,-0.0030859115,0.99844354,0.0006444062,0.009692616,-0.05491927,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245530773,-0.032563955,-0.027801001,0.0025550562,0.9984433,0.0005643958,0.0090865875,-0.05502934,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245570774,-0.07017895,-0.0247255,-0.013344613,0.99845016,-0.0004255875,0.008240688,-0.055040136,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245614745,-0.08750489,-0.028210765,0.0007636697,0.9984581,-0.0022084862,0.0072921254,-0.054986086,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245658766,-0.06792494,-0.02631997,0.0037732618,0.9984574,-0.003750522,0.0066170325,-0.05500098,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245702619,-0.004956985,0.02442922,-0.003526636,0.9984562,-0.004553371,0.0064265477,-0.0549839,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245743067,-0.07298887,-0.056800947,-0.0023525828,0.9984546,-0.005248195,0.0061229332,-0.05498594,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245786735,-0.21409932,-0.2702222,-0.012274867,0.9984384,-0.008496617,0.0034790724,-0.055104617,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245826756,-0.7113499,-0.4697027,-0.035334416,0.9982906,-0.01762016,-0.002701489,-0.055661727,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245870793,-0.94958574,-0.7619555,-0.0672802,0.9976421,-0.03632186,-0.0139344195,-0.056540374,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245910618,-0.8658085,-0.41038498,-0.023348441,0.9964203,-0.05720833,-0.024776502,-0.057097107,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
1245954824,-0.47205344,-0.21329024,-0.10761968,0.9948677,-0.07604254,-0.032794546,-0.058140203,0.9890102,-0.00087689876,0.0013584548,0.1478383,1
