timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
1244765148,4.714746,0.0,0,1,1,1,1,0,0
1245265144,4.703467,0.0,0,1,1,1,1,0,0
1245775132,4.680908,0.0,0,1,1,1,1,0,0
1246275138,4.688965,0.0,0,1,1,1,1,0,0
1246775144,4.6873536,0.0,0,1,1,1,1,0,0
1247275140,4.7356935,0.0,0,1,1,1,1,0,0
1247775113,4.738916,0.0,0,1,1,1,1,0,0
1248275139,4.690576,0.0,0,1,1,1,1,0,0
1248775144,4.7373047,0.0,0,1,1,1,1,0,0
1249285144,4.7340817,0.0,0,1,1,1,1,0,0
1249785139,4.6970215,0.0,0,1,1,1,1,0,0
1253315139,4.6954103,0.0,0,1,1,1,1,0,0
1253815138,4.6954103,0.0,0,1,1,1,1,0,0
1254325135,4.6841307,0.0,0,1,1,1,1,0,0
1254825140,4.6873536,0.0,0,1,1,1,1,0,0
1255335147,4.7356935,0.0,0,1,1,1,1,0,0
1255835139,4.7373047,0.0,0,1,1,1,1,0,0
1256335126,4.7356935,0.0,0,1,1,1,1,0,0
1256845144,4.7324705,0.0,0,1,1,1,1,0,0
1257345117,4.7356935,0.0,0,1,1,1,1,0,0
1257855113,4.7373047,0.0,0,1,1,1,1,0,0
1258355145,4.7340817,0.0,0,1,1,1,1,0,0
1258855144,4.7324705,0.0,0,1,1,1,1,0,0
1259365134,4.6841307,0.0,0,1,1,1,1,0,0
1259865155,4.6873536,0.0,0,1,1,1,1,0,0
1260375144,4.688965,0.0,0,1,1,1,1,0,0
1260875139,4.7324705,0.0,0,1,1,1,1,0,0
1261385110,4.7340817,0.0,0,1,1,1,1,0,0
1261885139,4.7340817,0.0,0,1,1,1,1,0,0
1262385139,4.7308593,0.0,0,1,1,1,1,0,0
1262895138,4.726025,0.0,0,1,1,1,1,0,0
1263395143,4.7308593,0.0,0,1,1,1,1,0,0
1263895138,4.7308593,0.0,0,1,1,1,1,0,0
1264405139,4.724414,0.0,0,1,1,1,1,0,0
1264905139,4.7308593,0.0,0,1,1,1,1,0,0
1265415138,4.7373047,0.0,0,1,1,1,1,0,0
1265915143,4.740527,0.0,0,1,1,1,1,0,0
1266425148,4.6841307,0.0,0,1,1,1,1,0,0
1266925115,4.7356935,0.0,0,1,1,1,1,0,0
1267425111,4.729248,0.0,0,1,1,1,1,0,0
1267935113,4.7356935,0.0,0,1,1,1,1,0,0
1268435139,4.7356935,0.0,0,1,1,1,1,0,0
1268935149,4.6986327,0.0,0,1,1,1,1,0,0
1269445127,4.724414,0.0,0,1,1,1,1,0,0
1269945145,4.7340817,0.0,0,1,1,1,1,0,0
1270455124,4.7308593,0.0,0,1,1,1,1,0,0
1270955151,4.7308593,0.0,0,1,1,1,1,0,0
1271455111,4.7340817,0.0,0,1,1,1,1,0,0
1271955146,4.716357,0.0,0,1,1,1,1,0,0
1272465131,4.6921873,0.0,0,1,1,1,1,0,0
1272965159,4.700244,0.0,0,1,1,1,1,0,0
1273465149,4.6873536,0.0,0,1,1,1,1,0,0
1273965116,4.703467,0.0,0,1,1,1,1,0,0
1274475138,4.6986327,0.0,0,1,1,1,1,0,0
1274975120,4.7211914,0.0,0,1,1,1,1,0,0
1275475156,4.726025,0.0,0,1,1,1,1,0,0
1275975144,4.713135,0.0,0,1,1,1,1,0,0
1276475119,4.7421384,0.0,0,1,1,1,1,0,0
1276975143,4.748584,0.0,0,1,1,1,1,0,0
1277485111,4.7340817,0.0,0,1,1,1,1,0,0
1277985112,4.724414,0.0,0,1,1,1,1,0,0
1278495139,4.71958,0.0,0,1,1,1,1,0,0
1278995138,4.727637,0.0,0,1,1,1,1,0,0
1279495138,4.729248,0.0,0,1,1,1,1,0,0
1280005162,4.727637,0.0,0,1,1,1,1,0,0
1280505111,4.729248,0.0,0,1,1,1,1,0,0
1281015138,4.729248,0.0,0,1,1,1,1,0,0
1281515119,4.6841307,0.0,0,1,1,1,1,0,0
1282015138,4.700244,0.0,0,1,1,1,1,0,0
1282525111,4.7066894,0.0,0,1,1,1,1,0,0
1283025125,4.7340817,0.0,0,1,1,1,1,0,0
1283535124,4.726025,0.0,0,1,1,1,1,0,0
1284035138,4.755029,0.0,0,1,1,1,1,0,0
1284535147,4.738916,0.0,0,1,1,1,1,0,0
1285045139,4.713135,0.0,0,1,1,1,1,0,0
1285545122,4.7340817,0.0,0,1,1,1,1,0,0
1286055138,4.7453613,0.0,0,1,1,1,1,0,0
1286555182,4.753418,0.0,0,1,1,1,1,0,0
1287055138,4.713135,0.0,0,1,1,1,1,0,0
1287565118,4.7179685,0.0,0,1,1,1,1,0,0
1288065111,4.6873536,0.0,0,1,1,1,1,0,0
1288575159,4.74375,0.0,0,1,1,1,1,0,0
1289075145,4.6680174,0.0,0,1,1,1,1,0,0
1289575140,4.716357,0.0,0,1,1,1,1,0,0
1290085154,4.6937985,0.0,0,1,1,1,1,0,0
1290585124,4.7469726,0.0,0,1,1,1,1,0,0
1291095146,4.7421384,0.0,0,1,1,1,1,0,0
1291595138,4.727637,0.0,0,1,1,1,1,0,0
1292095151,4.727637,0.0,0,1,1,1,1,0,0
1292605117,4.71958,0.0,0,1,1,1,1,0,0
1293105129,4.740527,0.0,0,1,1,1,1,0,0
1293615157,4.714746,0.0,0,1,1,1,1,0,0
1294115144,4.7179685,0.0,0,1,1,1,1,0,0
1294615139,4.7211914,0.0,0,1,1,1,1,0,0
1295125174,4.674463,0.0,0,1,1,1,1,0,0
1295625125,4.727637,0.0,0,1,1,1,1,0,0
1296135148,4.7469726,0.0,0,1,1,1,1,0,0
1296635151,4.7421384,0.0,0,1,1,1,1,0,0
1297135126,4.7340817,0.0,0,1,1,1,1,0,0
1297645115,4.701855,0.0,0,1,1,1,1,0,0
1298145134,4.726025,0.0,0,1,1,1,1,0,0
1298655133,4.7356935,0.0,0,1,1,1,1,0,0
1299155152,4.748584,0.0,0,1,1,1,1,0,0
1299655138,4.709912,0.0,0,1,1,1,1,0,0
1300165121,4.666406,0.0,0,1,1,1,1,0,0
1300665112,4.6954103,0.0,0,1,1,1,1,0,0
1301175147,4.6937985,0.0,0,1,1,1,1,0,0
1301675138,4.6873536,0.0,0,1,1,1,1,0,0
1302175123,4.714746,0.0,0,1,1,1,1,0,0
1302685111,4.729248,0.0,0,1,1,1,1,0,0
1303185112,4.7453613,0.0,0,1,1,1,1,0,0
1303695128,4.726025,0.0,0,1,1,1,1,0,0
1304195138,4.729248,0.0,0,1,1,1,1,0,0
1304695139,4.729248,0.0,0,1,1,1,1,0,0
1305205117,4.727637,0.0,0,1,1,1,1,0,0
1305705112,4.7211914,0.0,0,1,1,1,1,0,0
1306215138,4.6937985,0.0,0,1,1,1,1,0,0
1306715156,4.6954103,0.0,0,1,1,1,1,0,0
1307225159,4.700244,0.0,0,1,1,1,1,0,0
1307725115,4.709912,0.0,0,1,1,1,1,0,0
1308225129,4.676074,0.0,0,1,1,1,1,0,0
1308735145,4.724414,0.0,0,1,1,1,1,0,0
1309235111,4.7469726,0.0,0,1,1,1,1,0,0
1309735145,4.727637,0.0,0,1,1,1,1,0,0
1310245119,4.705078,0.0,0,1,1,1,1,0,0
1310745148,4.7211914,0.0,0,1,1,1,1,0,0
1311255138,4.7228026,0.0,0,1,1,1,1,0,0
1311755146,4.740527,0.0,0,1,1,1,1,0,0
1312255149,4.724414,0.0,0,1,1,1,1,0,0
1312765116,4.680908,0.0,0,1,1,1,1,0,0
1313265112,4.6937985,0.0,0,1,1,1,1,0,0
1313775152,4.7228026,0.0,0,1,1,1,1,0,0
1314275155,4.6776853,0.0,0,1,1,1,1,0,0
1314775148,4.714746,0.0,0,1,1,1,1,0,0
1315285113,4.6954103,0.0,0,1,1,1,1,0,0
1315785122,4.709912,0.0,0,1,1,1,1,0,0
