timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1244966764,23301968,37.102497299999996,-76.3883551,6.182562,-9.290245,0.11914706,-0.00047961375,-0.0036008249,0.0,-0.028622411,0.12862523,-0.003011739,0.029876662,0.0028893964,-0.0026843061,-0.061254453,0.009176128,0.00071630825,-0.017398937,-0.11019784,2.573936,0.1,0.003011739,0.3213827,0.23617455,0.15695848,0.09563666,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245066748,23301968,37.102497299999996,-76.3883551,6.17385,-9.275485,0.12146757,-0.00047961375,-0.0036008249,0.0,-0.0276989,0.13202964,-0.0037168916,0.028452503,0.0028893964,-0.0026843061,-0.061254453,-0.18942057,0.92255265,0.09373203,-0.110227674,2.573936,0.1,0.0037168916,0.30932558,0.23546931,0.15233766,0.09519972,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245170755,23301968,37.102497299999996,-76.3883551,6.1648936,-9.260009,0.123608135,-0.00047961375,-0.0036008249,0.0,-0.026976852,0.12833287,-0.009492272,0.021558674,0.0028893964,-0.0026843061,-0.061254453,-0.36283362,-1.7726378,0.023692107,-0.1102877,2.573936,0.1,0.009492272,0.32133254,0.23643991,0.15698583,0.0956891,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245274526,23301968,37.102497299999996,-76.3883551,6.15592,-9.245554,0.12529615,-0.00047961375,-0.0036008249,0.0,-0.032916408,0.16248617,0.0024641438,0.03201373,0.0028893964,-0.0026843061,-0.061254453,1.3652323,0.4327077,0.8343075,-0.11013172,2.573936,0.1,-0.0024641438,0.3101329,0.23629658,0.15269978,0.095402785,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245374823,23301968,37.102497299999996,-76.3883551,6.1477833,-9.231976,0.12811598,-0.00047961375,-0.0036008249,0.0,-0.038016953,0.110682346,0.0053639445,0.034589827,0.0028893964,-0.0026843061,-0.061254453,-0.19465637,0.6910708,0.32204887,-0.10972915,2.573936,0.1,-0.0053639445,0.3221861,0.23562968,0.15734857,0.09550778,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245478721,23301968,37.102497299999996,-76.3883551,6.1396213,-9.216784,0.13419549,-0.00047961375,-0.0036008249,0.0,-0.030964099,0.123506926,0.004205975,0.036143687,0.0028893964,-0.0026843061,-0.061254453,0.09171192,-0.104617804,0.42056972,-0.1099032,2.573936,0.1,-0.004205975,0.31090763,0.2355096,0.15305418,0.0952331,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245578777,23301968,37.102497299999996,-76.3883551,6.1324224,-9.2026005,0.13973093,-0.00047961375,-0.0036008249,0.0,-0.024299072,0.13321477,0.005560226,0.039365213,0.0028893964,-0.0026843061,-0.061254453,0.3657316,-0.5796635,0.2253707,-0.11021977,2.573936,0.1,-0.005560226,0.32205275,0.23592006,0.1573559,0.09557427,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245678811,23301968,37.102497299999996,-76.3883551,6.124494,-9.187667,0.14649424,-0.00047961375,-0.0036008249,0.0,-0.035318848,0.1365979,0.00651061,0.04277115,0.0028893964,-0.0026843061,-0.061254453,0.6887843,0.48899594,-0.33067358,-0.10998375,2.573936,0.1,-0.00651061,0.31091198,0.23578382,0.1531135,0.09529524,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245782810,23301968,37.102497299999996,-76.3883551,6.1174455,-9.172064,0.15574974,-0.00047961375,-0.0036008249,0.0,-0.041814286,0.13513061,-0.005647839,0.0352984,0.0028893964,-0.0026843061,-0.061254453,0.26652667,0.4523262,-0.23376535,-0.1102912,2.573936,0.1,0.005647839,0.32301438,0.23676258,0.15776713,0.09578794,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1245882792,23301968,37.102497299999996,-76.3883551,6.110053,-9.157782,0.1617747,-0.00047961375,-0.0036008249,0.0,-0.02516712,0.104871705,-0.020797476,0.02361764,0.0028893964,-0.0026843061,-0.061254453,-0.8725075,-3.4232397,-7.266319,-0.111994624,2.573936,0.1,0.020797476,0.31052405,0.2360494,0.15296127,0.09534838,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
