Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25653,-17.0117,-13.5852,0.25345,21.772,1086610149,22719,21.772,1,14,1086610149,0.667
dataset_1,1,25712,-16.993,-13.377,0.251773,21.628,1086610260,22759,21.628,1,14,1086610260,0.667
dataset_1,1,25771,-16.9154,-13.1256,0.249259,21.412,1086610370,22799,21.412,4,14,1086610370,0.667
dataset_1,1,25826,-17.1813,-13.1409,0.25182,21.632,1086610481,22839,21.632,1,14,1086610481,0.667
dataset_1,1,25915,-16.8624,-13.9498,0.381998,21.888,1086610651,22900,21.888,3,18,1086610651,1
dataset_1,1,25942,-16.8485,-13.8346,0.380532,21.804,1086610707,22921,21.804,3,18,1086610707,1
dataset_1,1,25999,-16.7993,-13.6038,0.377321,21.62,1086610818,22960,21.62,3,18,1086610818,1
dataset_1,1,26054,-16.8033,-13.4139,0.375297,21.504,1086610928,23000,21.504,20,18,1086610928,1
dataset_1,1,26141,-16.909,-13.2155,0.374598,21.464,1086611094,23059,21.464,5,18,1086611094,1
dataset_1,1,26172,-16.8918,-13.1074,0.373202,21.384,1086611150,23079,21.384,5,18,1086611150,1
dataset_1,1,26202,-16.9977,-13.0947,0.374529,21.46,1086611205,23099,21.46,5,18,1086611205,1
dataset_1,1,26291,-17.1744,-12.9419,0.375366,21.508,1086611371,23160,21.508,2,18,1086611371,1
dataset_1,1,26316,-16.475,-13.6487,0.497831,21.4,1086611419,23176,21.4,3,13,1086611419,1.333
dataset_1,1,26351,-17.5208,-13.0264,0.381091,21.836,1086611481,23197,21.836,3,18,1086611481,1
dataset_1,1,26379,-17.6306,-13.0126,0.382487,21.916,1086611536,23217,21.916,3,18,1086611536,1
dataset_1,1,26463,-16.3648,-13.0873,0.487595,20.96,1086611695,23275,20.96,2,13,1086611695,1.333
dataset_1,1,26575,-17.0156,-13.2177,0.501367,21.552,1086611916,23356,21.552,6,13,1086611916,1.333
dataset_1,1,26603,-17.0458,-13.146,0.500902,21.532,1086611971,23376,21.532,3,13,1086611971,1.333
dataset_1,1,26686,-16.825,-12.697,0.49048,21.084,1086612138,23436,21.084,2,13,1086612138,1.333
dataset_1,1,26882,-16.977,-13.4751,0.630799,21.684,1086612530,23576,21.684,3,17,1086612530,1.667
dataset_1,1,26930,-17.1974,-13.4748,0.126979,21.848,1086612631,23612,21.848,2,9,1086612631,0.333
