Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25714,-17.0003,-13.1156,-1.25045,21.508,1084610487,22815,21.508,1,20,1084610487,-3.333
dataset_1,1,25743,-17.1823,-13.1606,-1.26045,21.68,1084610542,22835,21.68,1,20,1084610542,-3.333
dataset_1,1,26462,-16.9281,-13.2733,-1.50423,21.564,1084611917,23330,21.564,13,15,1084611917,-4
dataset_1,1,26490,-16.9177,-13.1701,-1.49921,21.492,1084611972,23350,21.492,6,15,1084611972,-4
dataset_1,1,26518,-16.9572,-13.106,-1.49865,21.484,1084612028,23370,21.484,6,15,1084612028,-4
dataset_1,1,26570,-17.0547,-12.9922,-1.49921,21.492,1084612138,23410,21.492,26,15,1084612138,-4
dataset_1,1,26684,-16.5039,-13.5035,-1.36664,21.368,1084612364,23491,21.368,24,19,1084612364,-3.667
dataset_1,1,26737,-16.6351,-13.418,-1.36971,21.416,1084612474,23531,21.416,19,19,1084612474,-3.667
dataset_1,1,26766,-16.9381,-13.5699,-1.39095,21.748,1084612530,23550,21.748,5,19,1084612530,-3.667
dataset_1,1,26850,-16.9756,-13.3105,-1.38251,21.616,1084612695,23610,21.616,5,19,1084612695,-3.667
dataset_1,1,26904,-17.0333,-13.1649,-1.37969,21.572,1084612806,23650,21.572,8,19,1084612806,-3.667
dataset_1,1,26934,-17.0887,-13.1126,-1.38046,21.584,1084612862,23670,21.584,5,19,1084612862,-3.667
dataset_1,1,26961,-16.7184,-12.736,-1.34695,21.06,1084612917,23690,21.06,7,19,1084612917,-3.667
dataset_1,1,26989,-16.7618,-12.6722,-1.34669,21.056,1084612972,23711,21.056,7,19,1084612972,-3.667
dataset_1,1,27018,-17.0846,-12.8275,-1.3692,21.408,1084613028,23730,21.408,2,19,1084613028,-3.667
dataset_1,1,27075,-17.2196,-12.7465,-1.37304,21.468,1084613138,23769,21.468,2,19,1084613138,-3.667
