Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25617,-16.7765,-13.2969,-1.9983,21.5,1084210189,22740,21.5,3,12,1084210189,-5.333
dataset_1,1,25676,-16.69,-13.0397,-1.97711,21.272,1084210300,22780,21.272,45,12,1084210300,-5.333
dataset_1,1,25850,-16.6425,-13.763,-1.76301,21.668,1084210636,22901,21.668,3,16,1084210636,-4.667
dataset_1,1,25878,-16.6165,-13.6441,-1.75519,21.572,1084210692,22921,21.572,2,16,1084210692,-4.667
dataset_1,1,25906,-16.6053,-13.5382,-1.74901,21.496,1084210746,22941,21.496,2,16,1084210746,-4.667
dataset_1,1,25935,-16.7269,-13.5403,-1.75682,21.592,1084210802,22961,21.592,8,16,1084210802,-4.667
dataset_1,1,26019,-16.6553,-13.1961,-1.73469,21.32,1084210968,23021,21.32,2,16,1084210968,-4.667
dataset_1,1,26110,-16.7272,-12.975,-1.72818,21.24,1084211134,23080,21.24,2,16,1084211134,-4.667
dataset_1,1,26284,-17.0731,-12.6842,-1.73632,21.34,1084211466,23199,21.34,17,16,1084211466,-4.667
