Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25907,-16.6863,-13.5461,1.75454,21.564,1088110787,22953,21.564,6,26,1088110787,4.667
dataset_1,1,25994,-16.7781,-13.3363,1.74966,21.504,1088110953,23012,21.504,6,26,1088110953,4.667
dataset_1,1,26083,-17.0112,-13.2333,1.75943,21.624,1088111119,23072,21.624,6,26,1088111119,4.667
dataset_1,1,26113,-17.0068,-13.1349,1.75422,21.56,1088111174,23092,21.56,6,26,1088111174,4.667
dataset_1,1,26142,-17.1127,-13.1215,1.7604,21.636,1088111230,23112,21.636,6,26,1088111230,4.667
