Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25936,-16.7851,-13.5197,0.376204,21.556,1086910909,22975,21.556,3,18,1086910909,1
dataset_1,1,25965,-16.8064,-13.4356,0.375576,21.52,1086910964,22996,21.52,2,18,1086910964,1
dataset_1,1,25994,-16.7757,-13.3201,0.3739,21.424,1086911019,23015,21.424,2,18,1086911019,1
dataset_1,1,26024,-16.8912,-13.3159,0.375436,21.512,1086911075,23035,21.512,2,18,1086911075,1
dataset_1,1,26111,-17.0636,-13.1598,0.376134,21.552,1086911240,23096,21.552,3,18,1086911240,1
dataset_1,1,26365,-16.8106,-13.4582,0.501088,21.54,1086911732,23272,21.54,3,13,1086911732,1.333
dataset_1,1,26424,-17.0572,-13.4565,0.505555,21.732,1086911842,23313,21.732,3,13,1086911842,1.333
dataset_1,1,26478,-16.8296,-13.0921,0.496156,21.328,1086911953,23352,21.328,23,13,1086911953,1.333
dataset_1,1,26536,-17.0793,-13.0959,0.500809,21.528,1086912063,23392,21.528,3,13,1086912063,1.333
dataset_1,1,26761,-16.922,-13.5377,0.630683,21.68,1086912510,23554,21.68,3,17,1086912510,1.667
dataset_1,1,26814,-16.8137,-13.2691,0.623352,21.428,1086912620,23592,21.428,6,17,1086912620,1.667
dataset_1,1,26844,-16.9417,-13.2745,0.626377,21.532,1086912676,23612,21.532,3,17,1086912676,1.667
dataset_1,1,26873,-17.0132,-13.2349,0.627308,21.564,1086912731,23632,21.564,3,17,1086912731,1.667
dataset_1,1,26902,-17.0055,-13.1339,0.62533,21.496,1086912787,23652,21.496,3,17,1086912787,1.667
