Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,26015,-16.7022,-13.3762,0.871787,21.416,1087210950,22991,21.416,31,22,1087210950,2.333
dataset_1,1,26075,-16.8234,-13.2815,0.873253,21.452,1087211060,23031,21.452,3,22,1087211060,2.333
dataset_1,1,26104,-16.8193,-13.1833,0.870647,21.388,1087211116,23051,21.388,3,22,1087211116,2.333
dataset_1,1,26135,-16.8905,-13.1441,0.87195,21.42,1087211171,23071,21.42,3,22,1087211171,2.333
dataset_1,1,26166,-16.9173,-13.0704,0.870973,21.396,1087211226,23091,21.396,3,22,1087211226,2.333
