Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25591,-16.3692,-13.1142,0.244183,20.976,1086310113,22710,20.976,1,14,1086310113,0.667
dataset_1,1,25675,-17.0974,-13.406,0.252937,21.728,1086310279,22770,21.728,1,14,1086310279,0.667
dataset_1,1,25732,-17.1462,-13.2521,0.252286,21.672,1086310390,22810,21.672,10,14,1086310390,0.667
dataset_1,1,25789,-16.7846,-12.7772,0.24558,21.096,1086310501,22852,21.096,1,14,1086310501,0.667
dataset_1,1,25817,-16.7864,-12.6955,0.245022,21.048,1086310556,22870,21.048,1,14,1086310556,0.667
dataset_1,1,26162,-17.1728,-13.1867,-0.12584,21.652,1086311214,23108,21.652,3,10,1086311214,-0.333
dataset_1,1,26192,-17.2419,-13.1491,-0.126026,21.684,1086311270,23127,21.684,3,10,1086311270,-0.333
dataset_1,1,26422,-17.0146,-13.5583,0,21.756,1086311705,23285,21.756,3,5,1086311705,0
dataset_1,1,26452,-16.9959,-13.4467,0,21.672,1086311761,23305,21.672,3,5,1086311761,0
dataset_1,1,26507,-16.9529,-13.2165,0,21.496,1086311871,23346,21.496,9,5,1086311871,0
dataset_1,1,26535,-16.9935,-13.1578,0,21.492,1086311927,23365,21.492,9,5,1086311927,0
dataset_1,1,26617,-17.1622,-13.0033,0,21.532,1086312093,23425,21.532,3,5,1086312093,0
dataset_1,1,26870,-16.8601,-13.2437,0.124607,21.44,1086312594,23605,21.44,5,9,1086312594,0.333
dataset_1,1,26899,-16.9756,-13.2389,0.125119,21.528,1086312650,23625,21.528,5,9,1086312650,0.333
dataset_1,1,26928,-16.9553,-13.1282,0.124631,21.444,1086312705,23645,21.444,3,9,1086312705,0.333
dataset_1,1,26958,-17.082,-13.1407,0.125258,21.552,1086312760,23663,21.552,3,9,1086312760,0.333
