Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25606,-17.1173,-13.6645,-0.254986,21.904,1086010124,22720,21.904,1,6,1086010124,-0.667
dataset_1,1,25692,-16.9986,-13.2856,-0.251168,21.576,1086010289,22779,21.576,3,6,1086010289,-0.667
dataset_1,1,25751,-17.0625,-13.1446,-0.250749,21.54,1086010400,22819,21.54,4,6,1086010400,-0.667
dataset_1,1,25779,-17.2177,-13.1592,-0.252286,21.672,1086010455,22841,21.672,1,6,1086010455,-0.667
dataset_1,1,25806,-17.2103,-13.0633,-0.251541,21.608,1086010510,22860,21.608,1,6,1086010510,-0.667
dataset_1,1,25952,-16.7138,-13.5298,-0.124979,21.504,1086010791,22961,21.504,6,10,1086010791,-0.333
dataset_1,1,25980,-16.7952,-13.4989,-0.125235,21.548,1086010846,22981,21.548,3,10,1086010846,-0.333
dataset_1,1,26038,-16.5388,-13.1085,-0.122655,21.104,1086010958,23020,21.104,51,10,1086010958,-0.333
dataset_1,1,26098,-17.0373,-13.3158,-0.125677,21.624,1086011068,23059,21.624,3,10,1086011068,-0.333
dataset_1,1,26129,-17.1326,-13.2846,-0.126002,21.68,1086011123,23081,21.68,9,10,1086011123,-0.333
dataset_1,1,26157,-17.0362,-13.1149,-0.124956,21.5,1086011179,23101,21.5,3,10,1086011179,-0.333
dataset_1,1,26186,-17.0097,-13.0049,-0.124445,21.412,1086011234,23120,21.412,3,10,1086011234,-0.333
dataset_1,1,26243,-16.8583,-12.7082,-0.122701,21.112,1086011345,23159,21.112,12,10,1086011345,-0.333
dataset_1,1,26301,-17.2796,-12.8329,-0.125096,21.524,1086011455,23200,21.524,3,10,1086011455,-0.333
dataset_1,1,26355,-17.3245,-12.6843,-0.124793,21.472,1086011566,23239,21.472,21,10,1086011566,-0.333
dataset_1,1,26518,-17.1828,-13.338,0,21.752,1086011890,23358,21.752,3,5,1086011890,0
dataset_1,1,26545,-17.0962,-13.1753,0,21.584,1086011945,23378,21.584,3,5,1086011945,0
dataset_1,1,26572,-17.1961,-13.1569,0,21.652,1086012001,23398,21.652,3,5,1086012001,0
dataset_1,1,26821,-16.9605,-13.4668,-0.378019,21.66,1086012494,23575,21.66,2,1,1086012494,-1
dataset_1,1,26848,-17.0113,-13.4155,-0.378159,21.668,1086012549,23594,21.668,2,1,1086012549,-1
dataset_1,1,26875,-17.0478,-13.3432,-0.37788,21.652,1086012605,23615,21.652,2,1,1086012605,-1
dataset_1,1,26904,-17.017,-13.2331,-0.376274,21.56,1086012660,23633,21.56,2,1,1086012660,-1
dataset_1,1,26932,-17.1445,-13.2317,-0.378019,21.66,1086012715,23654,21.66,2,1,1086012715,-1
dataset_1,1,26958,-17.2478,-13.2156,-0.379276,21.732,1086012771,23674,21.732,2,1,1086012771,-1
dataset_1,1,26983,-17.2851,-13.1534,-0.379136,21.724,1086012826,23693,21.724,2,1,1086012826,-1
