timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
1725780098,0.06432314,-0.008079189,0.0022029863,-0.0037708282,-0.017665863,-0.5297508,0.0,0.0,0.0,0.009785976,0.0,0.0,0.0,0.0,0.0,0.2627441,0.26274395,0.57214296,0.4381631,0.43816313,4.057308,0.0,0.0,0.0,0.09014775,0.0,0.0,0.0,0.0,0.0,0.00017976845,0.004770226,0.01482052,0.0,0.0,0.0,0.0,0.0,0.0
1725979826,0.07707426,-0.017731722,0.029580796,-0.010591507,-0.024816513,-0.0056114197,0.0,0.0,0.0,-0.050411485,0.0,0.0,0.0,0.0,0.0,0.26252633,0.26252618,0.5721326,0.43706346,0.4370635,4.0574017,0.0,0.0,0.0,0.090147756,0.0,0.0,0.0,0.0,0.0,0.0001588211,0.004017832,0.012689653,0.0,0.0,0.0,0.0,0.0,0.0
1726185434,0.06353057,-0.01519617,0.088823445,0.005346298,-0.021131516,0.09852028,0.0,0.0,0.0,-0.022628454,0.0,0.0,0.0,0.0,0.0,0.26246485,0.2624647,0.57210666,0.4367361,0.43673617,4.057274,0.0,0.0,0.0,0.09014785,0.0,0.0,0.0,0.0,0.0,0.00017680696,0.0050602485,0.013790818,0.0,0.0,0.0,0.0,0.0,0.0
1726389624,0.07653726,0.0021687597,0.038471304,0.00970459,-0.01766777,0.08991623,0.0,0.0,0.0,0.08828139,0.0,0.0,0.0,0.0,0.0,0.26251078,0.2625106,0.5721433,0.43821844,0.43821847,4.057248,0.0,0.0,0.0,0.090147845,0.0,0.0,0.0,0.0,0.0,0.0005588316,0.0050161746,0.014766416,0.0,0.0,0.0,0.0,0.0,0.0
1726589400,0.04498684,0.023989037,0.0634592,0.012199402,-0.02399826,0.08412552,0.0,0.0,0.0,-0.029324014,0.0,0.0,0.0,0.0,0.0,0.26245487,0.2624547,0.5721192,0.4379236,0.43792364,4.0570707,0.0,0.0,0.0,0.09014778,0.0,0.0,0.0,0.0,0.0,0.00032440067,0.004438542,0.0130217485,0.0,0.0,0.0,0.0,0.0,0.0
1726794187,0.09989606,0.009792475,0.025750047,0.014632225,-0.023071289,0.25841904,0.0,0.0,0.0,-0.040039055,0.0,0.0,0.0,0.0,0.0,0.26246732,0.2624671,0.57213134,0.4379748,0.43797484,4.0571976,0.0,0.0,0.0,0.090147704,0.0,0.0,0.0,0.0,0.0,0.00016564196,0.0034381603,0.008356293,0.0,0.0,0.0,0.0,0.0,0.0
1726994452,0.06663294,0.0048034107,-0.04066375,0.014165878,-0.020191193,-0.11903,0.0,0.0,0.0,-0.1052318,0.0,0.0,0.0,0.0,0.0,0.26264986,0.26264971,0.57216126,0.43771172,0.43771175,4.0571,0.0,0.0,0.0,0.09014779,0.0,0.0,0.0,0.0,0.0,0.0005643026,0.0030597686,0.0072937477,0.0,0.0,0.0,0.0,0.0,0.0
1727195011,0.04939366,-0.022060387,-0.0006294213,-0.0040225983,-0.015553474,1.661602,0.0,0.0,0.0,0.058837913,0.0,0.0,0.0,0.0,0.0,0.2625349,0.26253474,0.57210904,0.4357777,0.4357777,4.05694,0.0,0.0,0.0,0.09014769,0.0,0.0,0.0,0.0,0.0,0.0013388515,0.027684418,0.089991495,0.0,0.0,0.0,0.0,0.0,0.0
1727400009,-0.061250046,0.08298387,-0.165661,-0.018017769,-0.013292313,1.1927757,0.0,0.0,0.0,0.023427889,0.0,0.0,0.0,0.0,0.0,0.26289383,0.26289353,0.57212436,0.43577367,0.43577373,4.0568786,0.0,0.0,0.0,0.09014767,0.0,0.0,0.0,0.0,0.0,0.00072028796,0.009726958,0.03230788,0.0,0.0,0.0,0.0,0.0,0.0
1727600033,0.25975126,0.015638128,0.090976715,-0.0051221848,-0.009914398,1.176918,0.0,0.0,0.0,-0.07297549,0.0,0.0,0.0,0.0,0.0,0.2631122,0.26311016,0.5721123,0.43184438,0.43184438,4.0566425,0.0,0.0,0.0,0.09014766,0.0,0.0,0.0,0.0,0.0,0.00041272346,0.020488998,0.06799219,0.0,0.0,0.0,0.0,0.0,0.0
