timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
1724701414,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
1752862228,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
1753246515,2,0,1,23,0,0,1,0,0,0,0,0,0,0
1753271417,2,1,2,23,0,0,1,0,0,0,0,0,0,0
1753346905,2,2,3,23,0,0,1,0,0,0,0,0,0,0
1781550102,2,3,4,23,0,0,1,0,0,0,0,0,0,0
1781618652,2,4,5,23,0,0,1,0,0,0,0,0,0,0
1836165137,2,5,6,23,0,0,1,0,0,0,0,0,0,0
1848118983,2,6,7,23,0,0,1,0,0,0,0,0,0,0
1873107806,2,7,8,23,0,0,1,0,0,0,0,0,0,0
1906037062,2,8,9,23,0,0,1,0,0,0,0,0,0,0
1931253296,2,9,10,23,0,0,1,0,0,0,0,0,0,0
1970300031,2,10,11,23,0,0,1,0,0,0,0,0,0,0
1992380240,2,11,12,23,0,0,1,0,0,0,0,0,0,0
2001316854,2,12,19,23,13,1,1,0,0,0,0,0,1,0
2054766031,2,19,20,23,0,0,1,0,0,0,0,0,0,0
2054914185,2,20,21,23,0,0,1,0,0,0,0,0,0,0
2075024991,2,21,22,23,0,0,1,0,0,0,0,0,0,0
