Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25616,-18.1461,-16.6921,-1.7241,24.716,1530710604,22879,24.716,8,15,1530710604,-4
dataset_1,1,25645,-18.2455,-16.6663,-1.72801,24.772,1530710659,22899,24.772,8,15,1530710659,-4
dataset_1,1,25700,-18.3941,-16.5679,-1.73108,24.816,1530710770,22939,24.816,9,15,1530710770,-4
dataset_1,1,25995,-18.5809,-17.2122,-1.62324,25.38,1530711327,23139,25.38,8,19,1530711327,-3.667
dataset_1,1,26024,-18.1503,-16.7018,-1.58077,24.716,1530711382,23158,24.716,3,19,1530711382,-3.667
dataset_1,1,26052,-18.2055,-16.6356,-1.58052,24.712,1530711437,23178,24.712,7,19,1530711437,-3.667
dataset_1,1,26079,-18.2841,-16.5849,-1.58205,24.736,1530711493,23199,24.736,7,19,1530711493,-3.667
dataset_1,1,26106,-17.9356,-16.1549,-1.547,24.188,1530711548,23219,24.188,3,19,1530711548,-3.667
dataset_1,1,26134,-18.0603,-16.1534,-1.55289,24.28,1530711603,23239,24.28,3,19,1530711603,-3.667
dataset_1,1,26163,-18.7822,-16.6873,-1.6102,25.176,1530711658,23258,25.176,4,19,1530711658,-3.667
