Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25356,-19.4765,-17.3164,2.12752,26.148,1524210126,22696,26.148,9,26,1524210126,4.667
dataset_1,1,25414,-19.2911,-16.9119,2.09432,25.74,1524210237,22736,25.74,9,26,1524210237,4.667
dataset_1,1,25442,-19.3831,-16.8733,2.0979,25.784,1524210292,22756,25.784,9,26,1524210292,4.667
dataset_1,1,25469,-19.4691,-16.829,2.10083,25.82,1524210348,22776,25.82,9,26,1524210348,4.667
dataset_1,1,25497,-19.5005,-16.7375,2.0979,25.784,1524210403,22796,25.784,9,26,1524210403,4.667
