Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,24988,-18.7033,-16.5356,-0.871789,24.98,1529109357,22432,24.98,3,28,1529109357,-2
dataset_1,1,25094,-19.1659,-16.4795,-0.882678,25.292,1529109578,22511,25.292,3,28,1529109578,-2
dataset_1,1,25120,-19.2201,-16.4039,-0.882399,25.284,1529109634,22532,25.284,3,28,1529109634,-2
dataset_1,1,25280,-18.5389,-16.7629,-1.30986,25.028,1529109961,22648,25.028,5,24,1529109961,-3
dataset_1,1,25365,-18.5728,-16.4434,-1.30003,24.84,1529110126,22708,24.84,5,24,1529110126,-3
dataset_1,1,25726,-18.6132,-16.6012,-1.16179,24.968,1529110843,22967,24.968,28,23,1529110843,-2.667
dataset_1,1,25754,-18.6831,-16.5527,-1.16272,24.988,1529110899,22986,24.988,11,23,1529110899,-2.667
dataset_1,1,25781,-18.7856,-16.521,-1.16533,25.044,1529110954,23007,25.044,11,23,1529110954,-2.667
dataset_1,1,26070,-18.5163,-16.7425,-1.01703,24.984,1529111512,23208,24.984,3,27,1529111512,-2.333
dataset_1,1,26095,-18.5717,-16.6751,-1.01687,24.98,1529111567,23228,24.98,3,27,1529111567,-2.333
dataset_1,1,26178,-18.7004,-16.446,-1.01459,24.924,1529111733,23287,24.924,3,27,1529111733,-2.333
