Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25819,-19.1602,-16.7853,3.12765,25.664,1523210980,23018,25.664,7,25,1523210980,7
dataset_1,1,25850,-19.3505,-16.833,3.1491,25.84,1523211035,23038,25.84,8,25,1523211035,7
dataset_1,1,25880,-19.3609,-16.7178,3.14082,25.772,1523211090,23059,25.772,7,25,1523211090,7
dataset_1,1,25910,-19.3468,-16.5881,3.12912,25.676,1523211145,23079,25.676,7,25,1523211145,7
dataset_1,1,25969,-19.4836,-16.4765,3.13302,25.708,1523211256,23118,25.708,7,25,1523211256,7
dataset_1,1,25996,-19.4891,-16.3591,3.12424,25.636,1523211311,23139,25.636,7,25,1523211311,7
dataset_1,1,26026,-19.5949,-16.3316,3.13204,25.7,1523211366,23159,25.7,7,25,1523211366,7
dataset_1,1,26055,-19.6428,-16.2615,3.13107,25.692,1523211422,23178,25.692,7,25,1523211422,7
dataset_1,1,26083,-19.6442,-16.1474,3.12229,25.62,1523211477,23198,25.62,7,25,1523211477,7
