Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,24888,-18.6538,-16.8609,-0.878071,25.16,1529209167,22369,25.16,3,28,1529209167,-2
dataset_1,1,24916,-18.6858,-16.7717,-0.876815,25.124,1529209222,22389,25.124,3,28,1529209222,-2
dataset_1,1,24944,-18.6039,-16.5813,-0.870254,24.936,1529209277,22409,24.936,3,28,1529209277,-2
dataset_1,1,24973,-18.6886,-16.5401,-0.87151,24.972,1529209333,22429,24.972,3,28,1529209333,-2
dataset_1,1,25351,-18.6538,-16.5267,-1.3061,24.956,1529210102,22706,24.956,5,24,1529210102,-3
dataset_1,1,25378,-18.7564,-16.5011,-1.30924,25.016,1529210157,22726,25.016,10,24,1529210157,-3
dataset_1,1,25407,-18.9793,-16.58,-1.32075,25.236,1529210213,22746,25.236,5,24,1529210213,-3
dataset_1,1,25684,-18.5612,-16.6833,-1.16253,24.984,1529210763,22945,24.984,5,23,1529210763,-2.667
dataset_1,1,25767,-18.7619,-16.5117,-1.16421,25.02,1529210929,23005,25.02,5,23,1529210929,-2.667
dataset_1,1,26000,-18.3519,-16.84,-1.01475,24.928,1529211376,23166,24.928,3,27,1529211376,-2.333
dataset_1,1,26081,-18.4589,-16.5913,-1.01117,24.84,1529211542,23225,24.84,7,27,1529211542,-2.333
dataset_1,1,26108,-18.5643,-16.5635,-1.01361,24.9,1529211597,23246,24.9,10,27,1529211597,-2.333
dataset_1,1,26136,-18.5383,-16.4244,-1.00905,24.788,1529211653,23266,24.788,3,27,1529211653,-2.333
dataset_1,1,26195,-18.7429,-16.3793,-1.0141,24.912,1529211763,23305,24.912,7,27,1529211763,-2.333
dataset_1,1,26221,-18.8513,-16.3583,-1.01687,24.98,1529211818,23325,24.98,3,27,1529211818,-2.333
