Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25815,-19.2414,-16.9935,3.15203,25.864,1522910888,22995,25.864,8,25,1522910888,7
dataset_1,1,25845,-19.3096,-16.9341,3.15349,25.876,1522910943,23015,25.876,8,25,1522910943,7
dataset_1,1,25874,-19.2788,-16.7883,3.13887,25.756,1522910999,23035,25.756,7,25,1522910999,7
dataset_1,1,25958,-19.5351,-16.6551,3.15203,25.864,1522911165,23095,25.864,8,25,1522911165,7
