Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,25311,-19.0038,-16.9913,0.444967,25.496,1526210064,22680,25.496,4,18,1526210064,1
dataset_1,1,25395,-19.1567,-16.7763,0.444478,25.468,1526210230,22739,25.468,4,18,1526210230,1
dataset_1,1,25704,-18.9777,-16.9859,0.592652,25.476,1526210831,22957,25.476,4,13,1526210831,1.333
dataset_1,1,25734,-19.0279,-16.9116,0.592373,25.464,1526210886,22977,25.464,4,13,1526210886,1.333
dataset_1,1,25820,-19.2221,-16.7272,0.592931,25.488,1526211052,23037,25.488,4,13,1526211052,1.333
dataset_1,1,26029,-18.6779,-17.0732,0.736456,25.316,1526211444,23177,25.316,4,17,1526211444,1.667
dataset_1,1,26058,-18.8736,-17.1255,0.741692,25.496,1526211499,23198,25.496,4,17,1526211499,1.667
dataset_1,1,26138,-18.9951,-16.8825,0.739598,25.424,1526211665,23257,25.424,4,17,1526211665,1.667
dataset_1,1,26167,-19.1049,-16.8551,0.74146,25.488,1526211720,23278,25.488,4,17,1526211720,1.667
dataset_1,1,26195,-18.8809,-16.5406,0.730522,25.112,1526211775,23298,25.112,4,17,1526211775,1.667
dataset_1,1,26221,-18.7969,-16.3572,0.725169,24.928,1526211831,23317,24.928,4,17,1526211831,1.667
dataset_1,1,26246,-19.1685,-16.5633,0.73727,25.344,1526211886,23337,25.344,4,17,1526211886,1.667
dataset_1,1,26274,-19.1896,-16.4591,0.735758,25.292,1526211941,23358,25.292,4,17,1526211941,1.667
dataset_1,1,26328,-19.2644,-16.2912,0.734245,25.24,1526212052,23398,25.24,43,17,1526212052,1.667
