Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,24868,-18.4836,-16.9966,-0.292331,25.112,1527809044,22320,25.112,4,6,1527809044,-0.667
dataset_1,1,24896,-18.6049,-16.9826,-0.293262,25.192,1527809100,22341,25.192,2,6,1527809100,-0.667
dataset_1,1,24924,-18.5988,-16.8526,-0.292191,25.1,1527809155,22362,25.1,2,6,1527809155,-0.667
dataset_1,1,24977,-19.1902,-17.158,-0.299688,25.744,1527809266,22400,25.744,6,6,1527809266,-0.667
dataset_1,1,25004,-18.7144,-16.6038,-0.29126,25.02,1527809321,22422,25.02,4,6,1527809321,-0.667
dataset_1,1,25033,-18.8803,-16.6335,-0.292936,25.164,1527809376,22442,25.164,6,6,1527809376,-0.667
dataset_1,1,25060,-18.827,-16.476,-0.29126,25.02,1527809432,22461,25.02,2,6,1527809432,-0.667
dataset_1,1,25088,-18.9449,-16.4686,-0.292238,25.104,1527809487,22480,25.104,2,6,1527809487,-0.667
dataset_1,1,25452,-18.9422,-16.571,-0.146274,25.168,1527810210,22742,25.168,4,10,1527810210,-0.333
dataset_1,1,26154,-18.8817,-16.9118,-0.442453,25.352,1527811581,23235,25.352,3,1,1527811581,-1
dataset_1,1,26183,-18.7851,-16.7017,-0.438753,25.14,1527811636,23256,25.14,3,1,1527811636,-1
dataset_1,1,26239,-18.9313,-16.5965,-0.439452,25.18,1527811747,23296,25.18,3,1,1527811747,-1
dataset_1,1,26290,-19.0378,-16.462,-0.439312,25.172,1527811857,23335,25.172,3,1,1527811857,-1
