timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
2487470412,24.17564,24.177345,0.062,0.07179641,0.0,46.134075,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2487976372,24.155443,24.154549,0.062,0.07031749,0.0,46.143703,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2488468000,24.17564,24.157244,0.0744,0.07180833,0.0,46.15361,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2488972505,24.155443,24.15579,0.0744,0.071411826,0.0,46.163544,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2489476009,24.155443,24.154104,0.062,0.07160198,0.0,46.173573,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2489980411,24.155443,24.150356,0.062,0.07134358,0.0,46.183544,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2490484055,24.11505,24.143373,0.0744,0.07141447,0.0,46.19353,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2490988055,24.155443,24.139097,0.062,0.07060319,0.0,46.203316,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2491492303,24.155443,24.138025,0.0744,0.06988232,0.0,46.21304,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2491998011,24.155443,24.134485,0.0744,0.0702918,0.0,46.222946,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2492501693,24.155443,24.134598,0.062,0.07157052,0.0,46.233047,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2492994118,24.155443,24.131912,0.062,0.07046201,0.0,46.24265,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2493498178,24.11505,24.128838,0.049599998,0.07050941,0.0,46.25251,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2494002212,24.155443,24.125265,0.024799999,0.0693731,0.0,46.262188,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2494505996,24.11505,24.119465,0.062,0.070512384,0.0,46.272167,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2495009761,24.155443,24.117327,0.062,0.07092697,0.0,46.28216,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2495513779,24.17564,24.149302,0.0744,0.07118333,0.0,46.29212,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2496019547,24.17564,24.128498,0.099199995,0.07037653,0.0,46.301876,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2496523608,24.155443,24.136164,0.0744,0.07053676,0.0,46.31174,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2497015551,24.11505,24.145355,0.0744,0.07040398,0.0,46.32132,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2497519360,24.135246,24.147291,0.0744,0.06981638,0.0,46.331024,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2498023303,24.155443,24.140337,0.0744,0.0713978,0.0,46.341145,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2498527624,24.11505,24.137928,0.0744,0.07085552,0.0,46.351032,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2499031327,24.094852,24.130787,0.0744,0.070508346,0.0,46.360863,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2499525234,24.074656,24.11992,0.0744,0.06983885,0.0,46.370407,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2500029216,24.11505,24.116245,0.0744,0.07050996,0.0,46.38034,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2500533174,24.155443,24.111706,0.0744,0.06983512,0.0,46.389908,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2501037248,24.11505,24.108809,0.0744,0.06968506,0.0,46.399662,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2501528952,24.034262,24.106564,0.0744,0.069275595,0.0,46.40909,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2502032857,24.11505,24.109669,0.0744,0.06812194,0.0,46.418545,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2502536837,24.11505,24.114328,0.0744,0.07017918,0.0,46.428623,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2503040851,24.094852,24.113867,0.0744,0.070025876,0.0,46.43851,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2503546468,24.11505,24.111433,0.0744,0.06958919,0.0,46.44826,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2504050550,24.054459,24.112679,0.0744,0.07010166,0.0,46.458134,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2504554567,24.155443,24.11453,0.0744,0.07050872,0.0,46.467976,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2505058473,24.094852,24.113245,0.0744,0.06984837,0.0,46.47768,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2505562756,24.074656,24.103464,0.0744,0.0695583,0.0,46.48735,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2506066498,24.074656,24.099222,0.062,0.070038155,0.0,46.49722,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2506558443,24.074656,24.096441,0.0744,0.070471354,0.0,46.506943,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2507062519,24.054459,24.09697,0.0744,0.070611745,0.0,46.516827,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2507568168,24.074656,24.100279,0.062,0.06961184,0.0,46.52651,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2508072161,24.11505,24.096657,0.062,0.06963976,0.0,46.53629,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2508576154,24.034262,24.093523,0.0744,0.06951933,0.0,46.54604,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2509080392,24.11505,24.088339,0.0744,0.06941551,0.0,46.555664,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2509584179,24.074656,24.086426,0.062,0.07044765,0.0,46.565666,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2510088355,24.074656,24.089697,0.024799999,0.067674205,0.0,46.574924,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2510592163,24.054459,24.089025,0.0744,0.069704495,0.0,46.58495,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2511085953,24.11505,24.088163,0.0744,0.07030978,0.0,46.5947,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2511589747,24.074656,24.08592,0.0744,0.06913262,0.0,46.604275,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2512093949,24.074656,24.083542,0.0744,0.06982147,0.0,46.614063,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2512597738,24.11505,24.08129,0.0744,0.07039418,0.0,46.62402,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2513089817,24.074656,24.075846,0.0744,0.07080526,0.0,46.6338,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2513594061,24.094852,24.071611,0.0744,0.06959554,0.0,46.643387,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2514097769,24.054459,24.068836,0.0744,0.06984025,0.0,46.65318,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2514601754,24.034262,24.065128,0.0744,0.07072292,0.0,46.66319,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2515107719,23.993868,24.058676,0.0868,0.07101108,0.0,46.673176,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2515611270,24.034262,24.052116,0.0744,0.07078983,0.0,46.683052,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2516115386,24.034262,24.049498,0.0744,0.069925815,0.0,46.692757,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2516619268,24.074656,24.047901,0.0744,0.069923826,0.0,46.70258,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2517123365,24.054459,24.050608,0.0744,0.069995366,0.0,46.712368,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2517627352,24.094852,24.055899,0.0744,0.069413565,0.0,46.722034,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2518131367,24.034262,24.060051,0.062,0.0685957,0.0,46.731533,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2518635292,24.034262,24.058346,0.062,0.06823066,0.0,46.74096,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2519128872,24.11505,24.056707,0.0744,0.06929598,0.0,46.750565,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2519632914,24.074656,24.05775,0.0744,0.069420114,0.0,46.76029,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2520136925,24.014065,24.058287,0.0744,0.069986135,0.0,46.770134,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2520641120,24.074656,24.059145,0.062,0.07143662,0.0,46.780293,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2521144979,24.014065,24.057377,0.062,0.07026125,0.0,46.789917,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2521648866,24.054459,24.056366,0.0744,0.06916755,0.0,46.799496,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2522152852,24.054459,24.052456,0.0744,0.070273705,0.0,46.80945,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
