timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
2465912482,0.0,0.0,81.0,4.0,4.0,0.0,0.0,176,1,0,255,190,1,1
2495670233,0.0,0.0,1.0,2.57222,-1.0,0.0,0.0,178,1,1,1,1,0,0
2533408888,0.0,0.0,1.0,7.202216,-1.0,0.0,0.0,178,1,1,1,1,0,0
2741632609,0.0,0.0,0.0,5.388864,-1.0,0.0,0.0,178,1,1,255,190,0,1
2842572919,0.0,0.0,1.0,2.57222,-1.0,0.0,0.0,178,1,1,1,1,0,0
2842662124,0.0,0.0,1.0,2.57222,0.0,0.0,0.0,178,1,1,1,5,0,1
2866423612,0.0,0.0,1.0,0.0,0.0,0.0,0.0,178,1,1,1,5,0,1
2915481469,0.0,0.0,1.0,7.19,0.0,0.0,0.0,178,1,1,1,5,0,1
2915647741,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31010,1,1,255,190,0,1
2916540641,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31010,1,1,255,190,0,1
