timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
2467861186,2467861186,18,255,0,0,0,1509,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468041193,2468041193,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468089217,2468089217,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468113169,2468113169,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468161203,2468161203,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468205165,2468205165,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468253182,2468253182,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468297239,2468297239,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468317253,2468317253,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468381312,2468381312,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468425226,2468425226,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468449167,2468449167,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468513199,2468513199,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468533306,2468533306,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468577199,2468577199,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468621214,2468621214,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468681339,2468681339,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468705181,2468705181,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468749031,2468749031,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468792983,2468792983,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468833199,2468833199,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468877198,2468877198,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468921165,2468921165,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2468961175,2468961175,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
