timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
2467876178,37.102512979179394,-76.38844449309416,3.3694942,-0.0,-0.014530324,0.09839177,-0.008056877,-0.10158868,1.6475209,1.8799181,0.0,2,0,0,0
2468080137,37.10251300535704,-76.38844425677377,3.3643157,-0.0,-0.0032779628,0.10237762,-0.008315773,-0.10185647,1.6477016,1.8798065,0.0,2,0,0,0
2468284464,37.10251302968202,-76.38844403490619,3.367067,-0.0,0.017931823,0.13972057,-0.011077413,-0.10117452,1.6476965,1.8798313,0.0,2,0,0,0
2468484373,37.10251306894727,-76.38844383273934,3.3639386,-0.0,0.015796024,0.096034914,-0.0067457445,-0.1015158,1.647692,1.8798552,0.0,2,0,0,0
2468688059,37.102513123444744,-76.38844360975375,3.3606899,-0.0,0.00052889856,0.10236964,-0.008255426,-0.102955446,1.6478301,1.8799487,0.0,2,0,0,0
2468888346,37.10251318701633,-76.3884433763588,3.3593748,-0.0,0.023739938,0.075664155,-0.012895249,-0.10036779,1.6477646,1.8797662,0.0,2,0,0,0
2469092532,37.10251358369793,-76.38844379257033,3.4176834,-0.0,0.24812642,-0.3317615,-0.6015103,-0.085507385,1.6477675,1.8797958,0.0,2,0,0,0
2469292577,37.102514082986204,-76.38844468400539,3.6031225,-0.0,0.28683156,-0.5427356,-0.8620275,-0.08275187,1.6477902,1.8798229,0.0,2,0,0,0
2469492463,37.10251458635434,-76.38844590450013,3.8670108,-0.0,0.23155959,-0.61901873,-0.93143886,-0.080187105,1.6478285,1.8798485,0.0,2,0,0,0
2469696419,37.102514946270716,-76.38844706709581,4.1555424,-0.0,0.10419495,-0.51774895,-0.94808364,-0.07553217,1.6480108,1.8797435,0.0,2,0,0,0
2469896391,37.1025150814485,-76.38844790062912,4.3865004,-0.0,-0.05067423,-0.33245212,-0.91919684,-0.07633426,1.6480393,1.879776,0.0,2,0,0,0
2470100394,37.10251497826827,-76.3884483740435,4.5940275,-0.0,-0.1878131,-0.14262514,-0.90204275,-0.079025,1.6480578,1.8798126,0.0,2,0,0,0
2470304364,37.10251467228878,-76.38844846712271,4.770979,-0.0,-0.2750327,0.008369324,-0.8917779,-0.079735234,1.6482155,1.8797169,0.0,2,0,0,0
2470504453,37.102514207198354,-76.38844829024201,4.9291954,-0.0,-0.3225467,0.12935764,-0.8762559,-0.079336576,1.6482193,1.8797532,0.0,2,0,0,0
2470708183,37.102513635621904,-76.38844798345674,5.080597,-0.0,-0.31912422,0.20056479,-0.86504114,-0.07850243,1.6482197,1.8797867,0.0,2,0,0,0
2470912475,37.10251307653331,-76.3884476348617,5.228298,-0.0,-0.28192943,0.22458534,-0.84859,-0.07908721,1.6483643,1.8796918,0.0,2,0,0,0
2471116455,37.10251258154593,-76.38844732205537,5.3773813,-0.0,-0.21846445,0.20432578,-0.86566126,-0.08108336,1.6483598,1.8797325,0.0,2,0,0,0
2471316070,37.102512196029565,-76.38844709958049,5.534957,-0.0,-0.17019287,0.18142757,-0.84893554,-0.08423485,1.6483532,1.8797688,0.0,2,0,0,0
2471520379,37.10251190749665,-76.38844696803912,5.70018,-0.0,-0.10010292,0.14118834,-0.8642191,-0.08771892,1.6484927,1.8796778,0.0,2,0,0,0
2471724142,37.10251174704611,-76.38844690738692,5.862754,-0.0,-0.050159752,0.115356036,-0.8685317,-0.092008576,1.6484836,1.8797146,0.0,2,0,0,0
2471924475,37.10251171879497,-76.3884468855353,6.027481,-0.0,0.00750654,0.08243259,-0.86879516,-0.09578039,1.6484952,1.8797543,0.0,2,0,0,0
2472124186,37.102511737286115,-76.38844688656786,6.1923723,-0.0,0.063875064,0.046537336,-0.87754124,-0.09928784,1.6484824,1.8797971,0.0,2,0,0,0
2472325990,37.1025117600651,-76.38844694429338,6.3614206,-0.0,0.090953715,0.03355797,-0.87349206,-0.10318065,1.6486173,1.8797121,0.0,2,0,0,0
2472526108,37.10251182709887,-76.38844706146523,6.52174,-0.0,0.11776855,0.011652501,-0.8817082,-0.10588605,1.6485603,1.8797404,0.0,2,0,0,0
2472729999,37.10251198159692,-76.38844716384124,6.6822977,-0.0,0.13243854,0.00065613724,-0.88500583,-0.10663982,1.6485544,1.8795929,0.0,2,0,0,0
2472929976,37.10251214571796,-76.38844726071153,6.837244,-0.0,0.1371382,0.007208307,-0.8733706,-0.10714808,1.6485493,1.8796486,0.0,2,0,0,0
2473134018,37.10251230632247,-76.38844737229269,7.0008316,-0.0,0.13122897,0.008333239,-0.87334025,-0.10816627,1.6486914,1.87977,0.0,2,0,0,0
2473333995,37.1025123988118,-76.3884474631401,7.168336,-0.0,0.13070184,-0.010124277,-0.8764897,-0.10935249,1.6486858,1.8796201,0.0,2,0,0,0
2473537997,37.10251249519499,-76.3884475424597,7.3394947,-0.0,0.12580886,-0.0038768945,-0.86951166,-0.11137491,1.6486807,1.8796701,0.0,2,0,0,0
2473738002,37.10251261404896,-76.38844761085396,7.5133076,-0.0,0.13399237,-0.0040185205,-0.8718592,-0.11263054,1.6486758,1.8797184,0.0,2,0,0,0
2473941926,37.10251279770813,-76.38844762806197,7.6958914,-0.0,0.14925419,-0.01024083,-0.88430834,-0.113582,1.6488206,1.8798394,0.0,2,0,0,0
2474146031,37.1025129662721,-76.38844769095101,7.883111,-0.0,0.16824609,-0.009044745,-0.8996665,-0.11373801,1.6488171,1.8796809,0.0,2,0,0,0
2474349955,37.1025131909616,-76.38844772201014,8.0658,-0.0,0.16630545,-0.00420373,-0.8971544,-0.11304908,1.6489646,1.8798007,0.0,2,0,0,0
2474549992,37.1025134270583,-76.38844771435652,8.242389,-0.0,0.14404218,-0.00021734361,-0.8837867,-0.11179668,1.6489615,1.8798428,0.0,2,0,0,0
2474749667,37.10251354551788,-76.38844776459872,8.415775,-0.0,0.114619054,-0.0048756455,-0.87913066,-0.110687636,1.6489586,1.8796839,0.0,2,0,0,0
2474953938,37.10251364740747,-76.38844781647526,8.593697,-0.0,0.10014994,-0.012315002,-0.8905919,-0.10945945,1.6488904,1.8797253,0.0,2,0,0,0
2475154041,37.10251371480218,-76.38844784297294,8.763842,-0.0,0.084164195,-0.010301717,-0.8686715,-0.10813918,1.648896,1.8797675,0.0,2,0,0,0
