timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
2468117469,1686676621999803,371025144,-763884477,2565,-33205,0.18200001,0.7160864,0.44700003,1.1270001,0.55,1.01,109,34,0.032,-0.004,-0.031000001,0.018000001,0.91857547,0,4,1,20
2468318047,1686676622199801,371025145,-763884474,2531,-33239,0.254,0.71609616,0.44500002,1.1240001,0.55,1.01,109,34,0.006,-0.003,-0.0050000004,0.040000003,0.91857547,0,4,1,20
2468522257,1686676622399801,371025146,-763884471,2494,-33276,0.266,0.7161063,0.44400004,1.1220001,0.55,1.01,109,34,0.023000002,-0.016,0.017,-0.07,0.91857547,0,4,1,20
2468738473,1686676622599801,371025147,-763884469,2461,-33309,0.27,0.71611655,0.44200003,1.12,0.55,1.01,109,23,0.007,0.001,-0.007,0.069000006,0.91857547,0,4,1,20
2468914394,1686676622799801,371025148,-763884467,2434,-33336,0.23300001,0.71612567,0.44000003,1.1170001,0.55,1.01,109,23,0.024,-0.012,-0.020000001,0.040000003,0.91857547,0,4,1,20
2469122510,1686676622999802,371025151,-763884467,2483,-33287,0.164,0.47675952,0.439,1.113,0.55,1.01,109,23,0.31800002,0.22500001,-0.224,-0.067,6.0230117,0,4,1,20
2469317580,1686676623199801,371025156,-763884473,2533,-33237,0.23400001,0.4990704,0.437,1.1110001,0.55,1.01,109,23,0.35000002,0.143,-0.32000002,-0.67600006,5.5988493,0,4,1,20
2469517650,1686676623399801,371025161,-763884481,2739,-33031,0.24100001,0.31668,0.43600002,1.1090001,0.55,1.01,109,23,0.518,0.23500001,-0.46100003,-1.056,5.3028994,0,4,1,20
2469718790,1686676623599801,371025166,-763884492,2976,-32794,0.23500001,0.21434073,0.43500003,1.1060001,0.55,1.01,109,22,0.72,0.27400002,-0.666,-1.1570001,5.165454,0,4,1,20
2469917354,1686676623799801,371025170,-763884504,3157,-32613,0.23300001,0.28020892,0.43300003,1.098,0.55,1.01,109,22,0.57100004,0.086,-0.565,-0.92600006,5.0538573,0,4,1,20
2470117194,1686676623999802,371025171,-763884512,3275,-32495,0.24700001,0.4686153,0.432,1.092,0.55,1.01,109,22,0.31800002,-0.132,-0.29000002,-0.78000003,4.8513694,0,4,1,20
2470317306,1686676624199801,371025168,-763884516,3349,-32421,0.246,0.34444436,0.43,1.088,0.55,1.01,109,22,0.418,-0.365,-0.20300001,-0.606,4.070495,0,4,1,20
2470517756,1686676624399801,371025162,-763884519,3442,-32328,0.254,0.26195455,0.42900002,1.082,0.55,1.01,109,22,0.52900004,-0.492,-0.192,-0.80200005,3.7176404,0,4,1,20
2470718151,1686676624599801,371025154,-763884521,3588,-32182,0.261,0.3460581,0.42800003,1.08,0.55,1.01,109,25,0.41400003,-0.41400003,-0.015000001,-0.80700004,3.5212567,0,4,1,20
2470917779,1686676624799801,371025148,-763884521,3701,-32069,0.256,0.31240326,0.42700002,1.0730001,0.55,1.01,109,25,0.43600002,-0.43600002,-0.012,-0.98100007,3.327213,0,4,1,20
2471118120,1686676624999802,371025142,-763884521,3880,-31890,0.25500003,0.39611256,0.42600003,1.067,0.55,1.01,109,25,0.34800002,-0.34600002,0.038000003,-1.018,3.213755,0,4,1,20
2471319009,1686676625199801,371025137,-763884519,4010,-31760,0.252,0.4848685,0.425,1.0610001,0.55,1.01,109,25,0.3,-0.298,0.034,-0.809,3.1399922,0,4,1,20
2471517371,1686676625399801,371025133,-763884518,4171,-31599,0.27400002,0.4849191,0.42400002,1.0600001,0.55,1.01,109,25,0.15100001,-0.14400001,0.045,-0.883,3.1399922,0,4,1,20
