timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
1429406962,3,-1,0,23,0,0,1,0,0,0,0,0,0,0
1458511790,3,-1,0,23,0,0,1,0,0,0,0,0,0,0
1462137220,3,0,1,23,0,0,1,0,0,0,0,0,0,0
1462351067,3,1,2,23,0,0,1,0,0,0,0,0,0,0
1462435005,3,2,3,23,0,0,1,0,0,0,0,0,0,0
1490063826,3,3,4,23,0,0,1,0,0,0,0,0,0,0
1490087558,3,4,5,23,0,0,1,0,0,0,0,0,0,0
1544543105,3,5,6,23,0,0,1,0,0,0,0,0,0,0
1556730135,3,6,7,23,0,0,1,0,0,0,0,0,0,0
1581858054,3,7,8,23,0,0,1,0,0,0,0,0,0,0
1614824913,3,8,9,23,0,0,1,0,0,0,0,0,0,0
1682766780,3,10,11,23,0,0,1,0,0,0,0,0,0,0
1711562054,3,11,12,23,0,0,1,0,0,0,0,0,0,0
1723273515,3,12,19,23,13,1,1,0,0,0,0,0,1,0
1778137966,3,19,20,23,0,0,1,0,0,0,0,0,0,0
1778206235,3,20,21,23,0,0,1,0,0,0,0,0,0,0
1797310966,3,21,22,23,0,0,1,0,0,0,0,0,0,0
1852845317,4,-1,0,23,0,0,1,0,0,0,0,0,0,0
