timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
1414012709,1413679091,140,4216477856,333.618,255,190
1433918618,1433685368,142,4216477857,233.25002,255,190
1444062599,1443685312,143,4216477857,377.28702,255,190
1453969463,1453679366,144,4216477857,290.09702,255,190
1464070951,1463678868,145,4216477857,392.083,255,190
1474122268,1473681534,146,4216477857,440.734,255,190
1484013607,1483676540,147,4216477857,337.06702,255,190
1494017478,1493683480,148,4216477857,333.99802,255,190
1504119453,1503678650,149,4216477857,440.803,255,190
1513966118,1513689088,150,4216477857,277.03,255,190
1524013794,1523680569,151,4216477857,333.225,255,190
1534013535,1533676391,152,4216477857,337.144,255,190
1544064574,1543679374,153,4216477857,385.2,255,190
1554020565,1553677380,154,4216477857,343.18503,255,190
1564022306,1563685183,155,4216477857,337.12302,255,190
1574014252,1573680538,156,4216477857,333.71402,255,190
1584070567,1583681254,157,4216477857,389.31302,255,190
1594070838,1593677043,158,4216477857,393.795,255,190
1604070548,1603685583,159,4216477857,384.96503,255,190
1613973974,1613689461,160,4216477857,284.513,255,190
1624015067,1623684553,161,4216477857,330.514,255,190
1633971484,1633685855,162,4216477857,285.62903,255,190
1643918540,1643675027,163,4216477857,243.51302,255,190
1654022885,1653674063,164,4216477857,348.82202,255,190
1663967950,1663674942,165,4216477857,293.00803,255,190
1673924747,1673677190,166,4216477857,247.557,255,190
1684071540,1683685463,167,4216477857,386.07703,255,190
1693974765,1693686273,168,4216477857,288.492,255,190
1703916505,1703675114,169,4216477857,241.391,255,190
1714070577,1713676375,170,4216477857,394.20203,255,190
1723972460,1723678642,171,4216477857,293.81802,255,190
1734069223,1733683858,172,4216477857,385.36502,255,190
1744023636,1743684653,173,4216477857,338.983,255,190
1754217515,1753676729,174,4216477857,540.786,255,190
1764172491,1763686132,175,4216477857,486.359,255,190
1774017760,1773687690,176,4216477857,330.07,255,190
1783927524,1783681866,177,4216477857,245.658,255,190
1794025853,1793685580,178,4216477857,340.273,255,190
1804076480,1803684579,179,4216477857,391.90103,255,190
1813968535,1813677402,180,4216477857,291.13303,255,190
1824026362,1823677175,181,4216477857,349.187,255,190
1834069183,1833687833,182,4216477857,381.35,255,190
1843977161,1843691391,183,4216477857,285.77002,255,190
