timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1430857880,0.0012936858,0.0013851684,0.00011328142,9.501123e-05,0.0003193584,-1.2852053e-05,0.0
1430889879,0.002254543,0.00013835263,0.001126222,9.501123e-05,0.0003193584,-1.2852053e-05,0.0
1430985964,-8.117664e-05,-0.00084908656,0.00034296187,0.00010104133,0.00042499168,-1.48906365e-05,0.0
1431017902,-0.0023846047,0.0006806514,-0.00027091196,0.00010795525,0.00054198154,-1.9039446e-05,0.0
1431049949,-0.0039446754,8.05147e-05,-0.0018949038,0.00011320227,0.0006567483,-1.505996e-05,0.0
1431081878,-0.004078982,0.0025870737,-0.0021976442,0.00012009193,0.0007692731,-2.0054345e-06,0.0
1431113939,-0.0045793746,-0.00053455005,-0.0018268218,0.0001261021,0.0008808147,1.41772325e-05,0.0
1431146725,-0.0012347267,-0.0023033663,-0.0033026459,0.00012548556,0.0009962741,3.0582945e-05,0.0
1431178701,0.0020616013,-0.0030009001,-0.002356143,0.0001162141,0.0011098731,5.292762e-05,0.0
1431210687,0.016368022,-0.0077860355,-0.0008786875,9.17657e-05,0.0012248035,6.8170884e-05,0.0
1431242677,-0.0037208076,-0.010381823,0.0146863535,7.7543365e-05,0.0013382384,3.733228e-05,0.0
1431274717,-0.013315125,-0.0007696294,-0.0036539745,6.8164314e-05,0.001445208,-3.528309e-05,0.0
1431306723,0.008082706,0.004868744,-0.018162668,1.5452677e-05,0.0015342446,5.4917968e-05,0.0
1431339533,0.007113091,0.009604725,0.005364134,-5.8996273e-05,0.0016079008,3.5692326e-05,0.0
1431367513,-0.010590728,0.011088184,-0.03488679,-1.940829e-05,0.001653383,0.00015907815,0.0
1431399498,0.014992351,-0.033593033,-0.0035829172,-0.00011825449,0.0018145136,0.0002915878,0.0
1431431450,-0.0056887916,-0.021085396,-0.015407244,-0.00014872613,0.0018448359,0.00038247346,0.0
1431463507,-0.03538316,-0.03714494,0.0077617588,-0.00015616506,0.002024016,0.00043377868,0.0
1431495484,-0.037088506,-0.021307243,-0.003419328,-0.00012892637,0.0021815177,0.00041219013,0.0
1431527488,-0.029033773,-0.021839807,0.012963449,-0.00011005016,0.0023641456,0.00042340875,0.0
1431559438,-0.011229876,0.0033082431,0.0003167889,-0.00010395235,0.0024232166,0.000408224,0.0
1431591511,-0.00517969,0.017418833,0.01717469,-0.000108292305,0.00247396,0.0003651825,0.0
1431624358,0.002105698,0.027849581,0.006422125,-0.00013721769,0.0025788664,0.00028712128,0.0
