timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
1429463811,0,1429463811,0,0,1,53,0,0,0,100,1,42
1434577472,0,1434577472,0,0,1,53,0,0,0,100,1,42
1439699553,0,1439699553,0,0,1,53,0,0,0,100,1,42
1444815698,0,1444815698,0,0,1,53,0,0,0,100,1,42
1449935502,0,1449935502,0,0,1,53,0,0,0,100,1,42
1455055611,0,1455055611,0,0,1,53,0,0,0,100,1,42
1460178668,0,1460178668,0,0,1,53,0,0,0,100,1,42
1465296511,0,1465296511,0,0,1,53,0,0,0,100,1,42
1470414724,0,1470414724,0,0,1,53,0,0,0,100,1,42
1475532472,0,1475532472,0,0,1,53,0,0,0,100,1,42
1480654907,0,1480654907,0,0,1,53,0,0,0,100,1,42
1485774891,0,1485774891,0,0,1,53,0,0,0,100,1,42
1490899149,0,1490899149,0,0,1,53,0,0,0,100,1,42
1496019590,0,1496019590,0,0,1,53,0,0,0,100,1,42
1501133432,0,1501133432,0,0,1,53,0,0,0,100,1,42
1506255063,0,1506255063,0,0,1,53,0,0,0,100,1,42
1511373465,0,1511373465,0,0,1,53,0,0,0,100,1,42
1516492219,0,1516492219,0,0,1,53,0,0,0,100,1,42
1531820936,0,1531820936,0,0,1,53,0,0,0,100,1,42
1536877966,0,1536877966,0,0,1,53,0,0,0,100,1,42
1541961503,0,1541961503,0,0,1,53,0,0,0,100,1,42
1547047721,0,1547047721,0,0,1,53,0,0,0,100,1,42
1552168482,0,1552168482,0,0,1,53,0,0,0,100,1,42
1557262930,0,1557262930,0,0,1,53,0,0,0,100,1,42
1562376697,0,1562376697,0,0,1,53,0,0,0,100,1,42
1567498959,0,1567498959,0,0,1,53,0,0,0,100,1,42
1572618055,0,1572618055,0,0,1,53,0,0,0,100,1,42
1577768459,0,1577768459,0,0,1,53,0,0,0,100,1,42
1582889419,0,1582889419,0,0,1,53,0,0,0,100,1,42
1588005567,0,1588005567,0,0,1,53,0,0,0,100,1,42
1593127451,0,1593127451,0,0,1,53,0,0,0,100,1,42
1598249527,0,1598249527,0,0,1,53,0,0,0,100,1,42
1603364468,0,1603364468,0,0,1,53,0,0,0,100,1,42
1608486809,0,1608486809,0,0,1,53,0,0,0,100,1,42
1613605460,0,1613605460,0,0,1,53,0,0,0,100,1,42
1618722706,0,1618722706,0,0,1,53,0,0,0,100,1,42
1623844548,0,1623844548,0,0,1,53,0,0,0,100,1,42
1628961474,0,1628961474,0,0,1,53,0,0,0,100,1,42
1634082846,0,1634082846,0,0,1,53,0,0,0,100,1,42
1639202570,0,1639202570,0,0,1,53,0,0,0,100,1,42
1644321519,0,1644321519,0,0,1,53,0,0,0,100,1,42
1649442639,0,1649442639,0,0,1,53,0,0,0,100,1,42
1654561175,0,1654561175,0,0,1,53,0,0,0,100,1,42
1659681463,0,1659681463,0,0,1,53,0,0,0,100,1,42
1664800458,0,1664800458,0,0,1,53,0,0,0,100,1,42
1669922520,0,1669922520,0,0,1,53,0,0,0,100,1,42
1675040395,0,1675040395,0,0,1,53,0,0,0,100,1,42
1680157482,0,1680157482,0,0,1,53,0,0,0,100,1,42
1685282894,0,1685282894,0,0,1,53,0,0,0,100,1,42
1690397884,0,1690397884,0,0,1,53,0,0,0,100,1,42
1695520398,0,1695520398,0,0,1,53,0,0,0,100,1,42
1700700478,0,1700700478,0,0,1,53,0,0,0,100,1,42
1705822879,0,1705822879,0,0,1,53,0,0,0,100,1,42
1710943494,0,1710943494,0,0,1,53,0,0,0,100,1,42
1716062132,0,1716062132,0,0,1,53,0,0,0,100,1,42
1721181505,0,1721181505,0,0,1,53,0,0,0,100,1,42
1726299958,0,1726299958,0,0,1,53,0,0,0,100,1,42
1731419627,0,1731419627,0,0,1,53,0,0,0,100,1,42
1736542322,0,1736542322,0,0,1,53,0,0,0,100,1,42
1741661421,0,1741661421,0,0,1,53,0,0,0,100,1,42
1746781455,0,1746781455,0,0,1,53,0,0,0,100,1,42
1751900511,0,1751900511,0,0,1,53,0,0,0,100,1,42
1757017469,0,1757017469,0,0,1,53,0,0,0,100,1,42
1762136463,0,1762136463,0,0,1,53,0,0,0,100,1,42
1767256470,0,1767256470,0,0,1,53,0,0,0,100,1,42
1772375484,0,1772375484,0,0,1,53,0,0,0,100,1,42
1777494563,0,1777494563,0,0,1,53,0,0,0,100,1,42
1782618181,0,1782618181,0,0,1,53,0,0,0,100,1,42
1787734563,0,1787734563,0,0,1,53,0,0,0,100,1,42
1792856322,0,1792856322,0,0,1,53,0,0,0,100,1,42
1797976346,0,1797976346,0,0,1,53,0,0,0,100,1,42
1803093476,0,1803093476,0,0,1,53,0,0,0,100,1,42
1813333563,0,1813333563,0,0,1,53,0,0,0,100,1,42
1818457006,0,1818457006,0,0,1,53,0,0,0,100,1,42
1823573952,0,1823573952,0,0,1,53,0,0,0,100,1,42
1828696302,0,1828696302,0,0,1,53,0,0,0,100,1,42
1833813475,0,1833813475,0,0,1,53,0,0,0,100,1,42
1838929610,0,1838929610,0,0,1,53,0,0,0,100,1,42
1844052453,0,1844052453,0,0,1,53,0,0,0,100,1,42
1849169863,0,1849169863,0,0,1,53,0,0,0,100,1,42
