timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1186163982,23430021,37.1024694,-76.3883658,7.1543455,-7.243028,1.9022458,0.00047478138,0.002704866,0.0,-0.039041687,-0.37898198,-0.7754902,-0.7870905,-0.018912507,-0.01135617,0.065236606,-3.4062467,-2.932747,-6.4105415,-0.12582675,-0.3826561,0.27580953,0.7754902,0.2580914,0.23504254,0.14226012,0.0939318,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186264003,23430021,37.1024694,-76.3883658,7.1492305,-7.289787,1.796264,0.00047478138,0.002704866,0.0,-0.10096967,-0.53215486,-0.92128265,-0.9508393,-0.018912507,-0.01135617,0.065236606,1.5004022,-0.11758228,3.349202,-0.11941748,-0.3826561,0.38179123,0.92128265,0.26856652,0.23538917,0.14742607,0.094235644,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186367805,23430021,37.1024694,-76.3883658,7.1402016,-7.3422656,1.6747086,0.00047478138,0.002704866,0.0,-0.12717712,-0.5474123,-0.96413463,-1.0129029,-0.018912507,-0.01135617,0.065236606,-1.0598215,-1.2867858,2.5847337,-0.11331357,-0.3826561,0.5033467,0.96413463,0.2582876,0.23524041,0.14398962,0.093967,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186467765,23430021,37.1024694,-76.3883658,7.125257,-7.3989577,1.5649308,0.00047478138,0.002704866,0.0,-0.16507639,-0.5479124,-0.97611594,-1.031348,-0.018912507,-0.01135617,0.065236606,0.034826834,-0.8322787,0.57820517,-0.10875199,-0.3826561,0.6131245,0.97611594,0.26976234,0.23455243,0.14886391,0.09406461,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186567984,23430021,37.1024694,-76.3883658,7.107573,-7.454018,1.4419314,0.00047478138,0.002704866,0.0,-0.2148818,-0.5507335,-0.9658716,-1.0401437,-0.018912507,-0.01135617,0.065236606,-2.4918017,0.50511396,-1.9512548,-0.10533223,-0.3826561,0.7361239,0.9658716,0.25854337,0.23385888,0.14423421,0.093655646,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186671914,23430021,37.1024694,-76.3883658,7.0858436,-7.5082774,1.3039597,0.00047478138,0.002704866,0.0,-0.22100048,-0.48945484,-0.9534441,-1.0561864,-0.018912507,-0.01135617,0.065236606,1.3348773,-1.0185199,1.448556,-0.10339664,-0.3826561,0.87409556,0.9534441,0.27004027,0.23480767,0.14889161,0.09413427,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186771903,23430021,37.1024694,-76.3883658,7.063482,-7.557079,1.1668234,0.00047478138,0.002704866,0.0,-0.25591502,-0.45315972,-0.92710656,-1.0594667,-0.018912507,-0.01135617,0.065236606,-0.7767142,0.5212002,-1.8270695,-0.1029321,-0.3826561,1.0112319,0.92710656,0.2595113,0.23468944,0.14410853,0.09386722,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186875931,23430021,37.1024694,-76.3883658,7.041146,-7.601956,1.0274135,0.00047478138,0.002704866,0.0,-0.25501314,-0.3839934,-0.91313624,-1.0723393,-0.018912507,-0.01135617,0.065236606,-2.6698592,2.6648402,-0.11473248,-0.102434255,-0.3826561,1.1506418,0.91313624,0.2710344,0.23562996,0.14859548,0.094337165,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1186979953,23430021,37.1024694,-76.3883658,7.020138,-7.6429567,0.8937899,0.00047478138,0.002704866,0.0,-0.23649108,-0.31928074,-0.9130079,-1.0910951,-0.018912507,-0.01135617,0.065236606,-0.978431,-1.6318911,0.09265795,-0.10220757,-0.3826561,1.2842654,0.9130079,0.26055548,0.23388806,0.14394528,0.093690254,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187079926,23430021,37.1024694,-76.3883658,7.0020037,-7.676094,0.7766336,0.00047478138,0.002704866,0.0,-0.22089094,-0.25978056,-0.8977111,-1.0825841,-0.018912507,-0.01135617,0.065236606,1.0140836,0.7849787,-1.6765623,-0.10248544,-0.3826561,1.4014217,0.8977111,0.2711958,0.23426771,0.14810295,0.09401216,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187183920,23430021,37.1024694,-76.3883658,6.986896,-7.7044353,0.66902053,0.00047478138,0.002704866,0.0,-0.18804763,-0.18772802,-0.87492645,-1.052551,-0.018912507,-0.01135617,0.065236606,1.5301713,-0.68502325,1.9701432,-0.10271639,-0.3826561,1.5090348,0.87492645,0.26067743,0.23416595,0.14354861,0.093748294,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187284001,23430021,37.1024694,-76.3883658,6.9756308,-7.7263107,0.57637835,0.00047478138,0.002704866,0.0,-0.17118208,-0.14692894,-0.861548,-1.0237472,-0.018912507,-0.01135617,0.065236606,-0.6544368,-1.1400506,-0.11085036,-0.10325138,-0.3826561,1.601677,0.861548,0.27221057,0.23513594,0.1480162,0.0942281,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187383938,23430021,37.1024694,-76.3883658,6.9648304,-7.7414207,0.49152398,0.00047478138,0.002704866,0.0,-0.14985432,-0.09540641,-0.8614732,-1.0049454,-0.018912507,-0.01135617,0.065236606,-2.1312573,1.3772835,-2.2612176,-0.103217065,-0.3826561,1.6865313,0.8614732,0.2607514,0.2344729,0.1431193,0.093819804,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187487944,23430021,37.1024694,-76.3883658,6.9545,-7.7515707,0.40708598,0.00047478138,0.002704866,0.0,-0.124298565,-0.040213283,-0.8616972,-0.98370457,-0.018912507,-0.01135617,0.065236606,0.5691519,-0.7916697,2.0728562,-0.10299276,-0.3826561,1.7709693,0.8616972,0.27226138,0.23545845,0.14770257,0.09430787,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187587798,23430021,37.1024694,-76.3883658,6.9469843,-7.7559056,0.32778704,0.00047478138,0.002704866,0.0,-0.10743464,-0.008465103,-0.8620372,-0.9639625,-0.018912507,-0.01135617,0.065236606,1.2740399,-0.990184,-0.14159198,-0.102750145,-0.3826561,1.8502682,0.8620372,0.26165372,0.23373534,0.14324242,0.09367369,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187687938,23430021,37.1024694,-76.3883658,6.9399304,-7.755499,0.25063837,0.00047478138,0.002704866,0.0,-0.10988958,0.042196967,-0.84796834,-0.9313258,-0.018912507,-0.01135617,0.065236606,-3.0469391,2.3042595,-2.6629603,-0.10289462,-0.3826561,1.9274169,0.84796834,0.27228642,0.23412623,0.14744231,0.094000414,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187791773,23430021,37.1024694,-76.3883658,6.932385,-7.753237,0.17109106,0.00047478138,0.002704866,0.0,-0.09078277,0.07366023,-0.8494456,-0.91522586,-0.018912507,-0.01135617,0.065236606,-0.041907907,-0.7999286,1.6172806,-0.10368805,-0.3826561,2.0069642,0.8494456,0.26142058,0.23403418,0.14291228,0.09374451,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187892010,23430021,37.1024694,-76.3883658,6.925116,-7.74943,0.097741626,0.00047478138,0.002704866,0.0,-0.0796917,0.104078546,-0.85967046,-0.9075969,-0.018912507,-0.01135617,0.065236606,-0.038722564,2.9145682,0.5580724,-0.10486538,-0.3826561,2.0803137,0.85967046,0.27292886,0.23501486,0.14744793,0.09423083,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1187995792,23430021,37.1024694,-76.3883658,6.9242263,-7.743491,0.024576738,0.00047478138,0.002704866,0.0,-0.06812751,0.12290073,-0.83994466,-0.86922276,-0.018912507,-0.01135617,0.065236606,1.1234138,-1.7959824,0.16191967,-0.106703535,-0.3826561,2.1534786,0.83994466,0.26230517,0.2333311,0.14309998,0.093613766,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188099815,23430021,37.1024694,-76.3883658,6.9246674,-7.73465,-0.04442957,0.00047478138,0.002704866,0.0,-0.060190566,0.15547267,-0.8358199,-0.84511894,-0.018912507,-0.01135617,0.065236606,0.07866417,2.998172,0.77655804,-0.10851855,-0.3826561,2.2224848,0.8358199,0.2738458,0.2343187,0.14762904,0.094102,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188199796,23430021,37.1024694,-76.3883658,6.9241633,-7.723433,-0.11010922,0.00047478138,0.002704866,0.0,-0.052219674,0.16099383,-0.8178068,-0.81006193,-0.018912507,-0.01135617,0.065236606,1.5413097,-1.8579304,-0.65223783,-0.110121585,-0.3826561,2.2881646,0.8178068,0.26230717,0.23368801,0.14288452,0.093710564,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188304035,23430021,37.1024694,-76.3883658,6.9230156,-7.7096553,-0.17983417,0.00047478138,0.002704866,0.0,-0.05034373,0.17875607,-0.81522435,-0.79340005,-0.018912507,-0.01135617,0.065236606,0.050657887,1.9101979,-5.193805,-0.11130252,-0.3826561,2.3578894,0.81522435,0.27383628,0.23469058,0.14745827,0.09420382,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188403971,23430021,37.1024694,-76.3883658,6.9160895,-7.692827,-0.2482901,0.00047478138,0.002704866,0.0,-0.044964373,0.18258135,-0.81873304,-0.7864039,-0.018912507,-0.01135617,0.065236606,2.983201,-1.01632,4.877032,-0.11219169,-0.3826561,2.4263453,0.81873304,0.26316044,0.23462312,0.14316168,0.09396082,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188503980,23430021,37.1024694,-76.3883658,6.9082346,-7.6745157,-0.31741896,0.00047478138,0.002704866,0.0,-0.047102828,0.18942326,-0.8198862,-0.77864164,-0.018912507,-0.01135617,0.065236606,-0.8062451,0.52659893,-1.2689888,-0.11296065,-0.3826561,2.4954743,0.8198862,0.27381542,0.23503889,0.14740829,0.094293654,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188607938,23430021,37.1024694,-76.3883658,6.9003153,-7.6582084,-0.39090142,0.00047478138,0.002704866,0.0,-0.055604678,0.1887155,-0.8114959,-0.7639229,-0.018912507,-0.01135617,0.065236606,-1.6183956,0.56998885,-1.369671,-0.11402379,-0.3826561,2.5689566,0.8114959,0.26301724,0.23335919,0.14294767,0.09367141,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1188707883,23430021,37.1024694,-76.3883658,6.8932176,-7.6433544,-0.46136707,0.00047478138,0.002704866,0.0,-0.045198157,0.17580618,-0.82519704,-0.7721539,-0.018912507,-0.01135617,0.065236606,0.64537853,-1.2985531,-0.95649487,-0.115125485,-0.3826561,2.6394224,0.82519704,0.27456275,0.23435172,0.14755362,0.0941575,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
