timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
1182805319,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
1212688570,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
1212759488,2,0,1,23,0,0,1,0,0,0,0,0,0,0
1212802973,2,1,2,23,0,0,1,0,0,0,0,0,0,0
1212919126,2,2,3,23,0,0,1,0,0,0,0,0,0,0
1250477162,2,3,4,23,0,0,1,0,0,0,0,0,0,0
1250580018,2,4,5,23,0,0,1,0,0,0,0,0,0,0
1305208382,2,5,6,23,0,0,1,0,0,0,0,0,0,0
1317412464,2,6,7,23,0,0,1,0,0,0,0,0,0,0
1342213214,2,7,8,23,0,0,1,0,0,0,0,0,0,0
1374952778,2,8,9,23,0,0,1,0,0,0,0,0,0,0
1400041683,2,9,10,23,0,0,1,0,0,0,0,0,0,0
1439621625,2,10,11,23,0,0,1,0,0,0,0,0,0,0
1463845193,3,-1,14,23,0,0,1,0,0,0,0,0,0,0
1498048438,3,14,15,23,0,0,1,0,0,0,0,0,0,0
1535187112,3,15,16,23,0,0,1,0,0,0,0,0,0,0
1547834466,3,16,17,23,0,0,1,0,0,0,0,0,0,0
1565619334,3,17,18,23,0,0,1,0,0,0,0,0,0,0
1584579771,3,18,19,23,0,0,1,0,0,0,0,0,0,0
1640262848,3,19,20,23,0,0,1,0,0,0,0,0,0,0
1640375076,3,20,21,23,0,0,1,0,0,0,0,0,0,0
1660711170,3,21,22,23,0,0,1,0,0,0,0,0,0,0
1711399620,3,22,22,23,0,0,1,0,1,0,0,0,0,0
