timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
1184265613,0.53890365,0.07966262,0.09752258
1714472892,0.5384899,0.07763522,0.09137979
1714676882,0.52639854,0.08337975,0.085917525
1714876835,0.48573476,0.08317191,0.08377534
1715081271,0.5058151,0.082292855,0.0919736
1715281293,0.49403507,0.08305928,0.08296922
