timestamp,safety_switch_available,safety_off,override_available,override_enabled
1184724868,1,1,0,0
1184857651,1,1,0,0
1184878495,1,1,0,0
1184898616,1,1,0,0
1184922467,1,1,0,0
1184946640,1,1,0,0
1184970504,1,1,0,0
1184990741,1,1,0,0
1185010668,1,1,0,0
1185034627,1,1,0,0
1185058509,1,1,0,0
1185082463,1,1,0,0
1185106458,1,1,0,0
1185126481,1,1,0,0
1185146633,1,1,0,0
1185170730,1,1,0,0
1185194459,1,1,0,0
1185214457,1,1,0,0
1185234517,1,1,0,0
1185258501,1,1,0,0
1185278767,1,1,0,0
1185302462,1,1,0,0
1185326486,1,1,0,0
1185346548,1,1,0,0
1185370509,1,1,0,0
1185390639,1,1,0,0
1185414503,1,1,0,0
1185434538,1,1,0,0
1185458777,1,1,0,0
1185478528,1,1,0,0
1185502516,1,1,0,0
1185526442,1,1,0,0
1185546462,1,1,0,0
1185570519,1,1,0,0
1185594442,1,1,0,0
1185615333,1,1,0,0
1185636566,1,1,0,0
1185660126,1,1,0,0
1185684232,1,1,0,0
1185704251,1,1,0,0
1185724251,1,1,0,0
1185748141,1,1,0,0
1185768062,1,1,0,0
1185788162,1,1,0,0
1185808161,1,1,0,0
1185832059,1,1,0,0
1185852411,1,1,0,0
1185872108,1,1,0,0
1185892151,1,1,0,0
1185916048,1,1,0,0
1185936293,1,1,0,0
1185960714,1,1,0,0
1185984032,1,1,0,0
1186004043,1,1,0,0
1186024113,1,1,0,0
1186048057,1,1,0,0
1186068375,1,1,0,0
1186092033,1,1,0,0
1186116064,1,1,0,0
1186136145,1,1,0,0
1186156098,1,1,0,0
1186180040,1,1,0,0
1186204114,1,1,0,0
1186224119,1,1,0,0
1186248348,1,1,0,0
1186272134,1,1,0,0
1186292129,1,1,0,0
1186312220,1,1,0,0
1186336035,1,1,0,0
1186356321,1,1,0,0
1186380109,1,1,0,0
1186404101,1,1,0,0
1186428368,1,1,0,0
1186452125,1,1,0,0
1186476099,1,1,0,0
1186500341,1,1,0,0
1186524266,1,1,0,0
1186548158,1,1,0,0
1186568158,1,1,0,0
1186588159,1,1,0,0
1186612127,1,1,0,0
1186632149,1,1,0,0
1186652102,1,1,0,0
1186676078,1,1,0,0
1186696236,1,1,0,0
1186716323,1,1,0,0
1186736136,1,1,0,0
1186760118,1,1,0,0
1186784128,1,1,0,0
1186804119,1,1,0,0
1186828167,1,1,0,0
1186852079,1,1,0,0
1186872111,1,1,0,0
1186896386,1,1,0,0
1186920090,1,1,0,0
1186944097,1,1,0,0
1186964272,1,1,0,0
1186984273,1,1,0,0
1187008040,1,1,0,0
1187032115,1,1,0,0
1187052118,1,1,0,0
1187072105,1,1,0,0
1187096255,1,1,0,0
1187120065,1,1,0,0
1187140111,1,1,0,0
1187164246,1,1,0,0
1187188162,1,1,0,0
1187208282,1,1,0,0
1187228263,1,1,0,0
1187252116,1,1,0,0
1187272133,1,1,0,0
1187292598,1,1,0,0
1187316059,1,1,0,0
1187336131,1,1,0,0
1187360103,1,1,0,0
1187380249,1,1,0,0
1187404114,1,1,0,0
1187428238,1,1,0,0
1187448058,1,1,0,0
1187468239,1,1,0,0
1187488241,1,1,0,0
1187512058,1,1,0,0
1187532095,1,1,0,0
1187556073,1,1,0,0
1187576093,1,1,0,0
1187600056,1,1,0,0
1187624093,1,1,0,0
1187644103,1,1,0,0
1187664118,1,1,0,0
1187684234,1,1,0,0
1187708047,1,1,0,0
1187728158,1,1,0,0
1187752164,1,1,0,0
1187776266,1,1,0,0
1187800111,1,1,0,0
1187824224,1,1,0,0
1187848235,1,1,0,0
1187872133,1,1,0,0
1187896047,1,1,0,0
1187920123,1,1,0,0
1187944277,1,1,0,0
1187964314,1,1,0,0
1187988162,1,1,0,0
1188008162,1,1,0,0
1188028159,1,1,0,0
1188052267,1,1,0,0
1188076106,1,1,0,0
1188096120,1,1,0,0
1188120386,1,1,0,0
1188140149,1,1,0,0
1188164094,1,1,0,0
1188188055,1,1,0,0
1188208215,1,1,0,0
1188232037,1,1,0,0
1188252062,1,1,0,0
1188276099,1,1,0,0
1188300391,1,1,0,0
1188324250,1,1,0,0
1188344289,1,1,0,0
1188364256,1,1,0,0
1188388165,1,1,0,0
1188412131,1,1,0,0
1188432128,1,1,0,0
1188452200,1,1,0,0
1188476238,1,1,0,0
1188500108,1,1,0,0
1188524212,1,1,0,0
1188544249,1,1,0,0
1188568051,1,1,0,0
1188588300,1,1,0,0
1188612077,1,1,0,0
1188636061,1,1,0,0
1188656130,1,1,0,0
1188680122,1,1,0,0
1188704137,1,1,0,0
1188724240,1,1,0,0
1188748230,1,1,0,0
1188772023,1,1,0,0
1188796064,1,1,0,0
1188820064,1,1,0,0
1188840301,1,1,0,0
1188860101,1,1,0,0
1188884061,1,1,0,0
1188908268,1,1,0,0
1188928242,1,1,0,0
1188952034,1,1,0,0
1188972052,1,1,0,0
1188992047,1,1,0,0
1189012279,1,1,0,0
1189036073,1,1,0,0
1189056375,1,1,0,0
1189080060,1,1,0,0
1189104120,1,1,0,0
1189124213,1,1,0,0
1189148166,1,1,0,0
1189172060,1,1,0,0
1189196045,1,1,0,0
1189216045,1,1,0,0
1189240007,1,1,0,0
1189260112,1,1,0,0
1189284131,1,1,0,0
1189308366,1,1,0,0
1189328266,1,1,0,0
1189352119,1,1,0,0
1189372115,1,1,0,0
1189396059,1,1,0,0
1189420072,1,1,0,0
1189440078,1,1,0,0
1189460130,1,1,0,0
1189484227,1,1,0,0
1189508138,1,1,0,0
1189528146,1,1,0,0
1189552038,1,1,0,0
1189572075,1,1,0,0
1189596311,1,1,0,0
1189620061,1,1,0,0
1189644117,1,1,0,0
1189664286,1,1,0,0
1189688299,1,1,0,0
1189712074,1,1,0,0
1189732107,1,1,0,0
1189752122,1,1,0,0
1189776349,1,1,0,0
1189796114,1,1,0,0
1189819997,1,1,0,0
1189840030,1,1,0,0
1189860075,1,1,0,0
1189884337,1,1,0,0
1189904245,1,1,0,0
1189924249,1,1,0,0
1189948154,1,1,0,0
1189972113,1,1,0,0
1189996012,1,1,0,0
1190016013,1,1,0,0
1190037066,1,1,0,0
1190057719,1,1,0,0
1190081663,1,1,0,0
1190101988,1,1,0,0
1190121714,1,1,0,0
1190145707,1,1,0,0
1190165702,1,1,0,0
1190189628,1,1,0,0
1190209916,1,1,0,0
1190229672,1,1,0,0
1190249672,1,1,0,0
1190273840,1,1,0,0
1190293839,1,1,0,0
1190317878,1,1,0,0
1190341911,1,1,0,0
1190365618,1,1,0,0
1190389937,1,1,0,0
1190413700,1,1,0,0
1190437697,1,1,0,0
1190457840,1,1,0,0
1190481726,1,1,0,0
1190505643,1,1,0,0
1190525661,1,1,0,0
1190545709,1,1,0,0
1190565672,1,1,0,0
1190585697,1,1,0,0
1190605991,1,1,0,0
1190629615,1,1,0,0
1190649652,1,1,0,0
1190673652,1,1,0,0
1190693695,1,1,0,0
1190717654,1,1,0,0
1190741598,1,1,0,0
1190765659,1,1,0,0
1190785957,1,1,0,0
1190805663,1,1,0,0
1190829569,1,1,0,0
1190849616,1,1,0,0
1190869592,1,1,0,0
1190889625,1,1,0,0
1190913656,1,1,0,0
1190933865,1,1,0,0
1190957702,1,1,0,0
1190981676,1,1,0,0
1191005680,1,1,0,0
1191029718,1,1,0,0
1191049839,1,1,0,0
1191069700,1,1,0,0
1191093867,1,1,0,0
1191117706,1,1,0,0
1191141892,1,1,0,0
1191165649,1,1,0,0
1191189710,1,1,0,0
1191209729,1,1,0,0
1191229715,1,1,0,0
1191253980,1,1,0,0
1191273716,1,1,0,0
1191297717,1,1,0,0
1191321662,1,1,0,0
1191345672,1,1,0,0
1191369679,1,1,0,0
1191393670,1,1,0,0
1191413685,1,1,0,0
1191437679,1,1,0,0
1191457694,1,1,0,0
1191477706,1,1,0,0
1191501653,1,1,0,0
1191521673,1,1,0,0
1191545729,1,1,0,0
1191565704,1,1,0,0
1191589650,1,1,0,0
1191614167,1,1,0,0
1191637621,1,1,0,0
1191657693,1,1,0,0
1191681690,1,1,0,0
1191701726,1,1,0,0
1191721989,1,1,0,0
1191745615,1,1,0,0
1191765618,1,1,0,0
1191789705,1,1,0,0
1191813634,1,1,0,0
1191833646,1,1,0,0
1191857630,1,1,0,0
1191877839,1,1,0,0
1191901929,1,1,0,0
1191921717,1,1,0,0
1191945674,1,1,0,0
1191965728,1,1,0,0
1191989720,1,1,0,0
1192013701,1,1,0,0
1192037723,1,1,0,0
1192057846,1,1,0,0
1192081911,1,1,0,0
1192101614,1,1,0,0
1192121651,1,1,0,0
1192145711,1,1,0,0
1192169627,1,1,0,0
1192193642,1,1,0,0
1192217862,1,1,0,0
1192241704,1,1,0,0
1192265823,1,1,0,0
1192289633,1,1,0,0
1192313646,1,1,0,0
1192334193,1,1,0,0
1192357621,1,1,0,0
1192381695,1,1,0,0
1192406002,1,1,0,0
1192429706,1,1,0,0
1192449855,1,1,0,0
1192469758,1,1,0,0
1192493854,1,1,0,0
1192517703,1,1,0,0
1192541723,1,1,0,0
1192565643,1,1,0,0
1192589659,1,1,0,0
1192609717,1,1,0,0
1192633637,1,1,0,0
1192658009,1,1,0,0
1192681838,1,1,0,0
1192701864,1,1,0,0
1192721745,1,1,0,0
1192745789,1,1,0,0
1192769724,1,1,0,0
1192789797,1,1,0,0
1192809747,1,1,0,0
1192833703,1,1,0,0
1192853858,1,1,0,0
1192877685,1,1,0,0
1192897729,1,1,0,0
1192921637,1,1,0,0
1192941907,1,1,0,0
1192965680,1,1,0,0
1192985661,1,1,0,0
1193009620,1,1,0,0
1193033722,1,1,0,0
1193054143,1,1,0,0
1193077682,1,1,0,0
1193101722,1,1,0,0
1193121831,1,1,0,0
1193145686,1,1,0,0
1193165701,1,1,0,0
1193189643,1,1,0,0
1193209663,1,1,0,0
1193229707,1,1,0,0
1193253681,1,1,0,0
1193273860,1,1,0,0
1193297618,1,1,0,0
1193317723,1,1,0,0
1193341881,1,1,0,0
1193361644,1,1,0,0
1193381657,1,1,0,0
1193405631,1,1,0,0
1193429661,1,1,0,0
1193453600,1,1,0,0
1193473609,1,1,0,0
1193497727,1,1,0,0
1193521909,1,1,0,0
1193541881,1,1,0,0
1193565678,1,1,0,0
1193585690,1,1,0,0
1193609609,1,1,0,0
1193629878,1,1,0,0
1193649646,1,1,0,0
1193669667,1,1,0,0
1193689705,1,1,0,0
1193713708,1,1,0,0
1193733819,1,1,0,0
1193753836,1,1,0,0
1193777677,1,1,0,0
1193801722,1,1,0,0
1193825673,1,1,0,0
1193849692,1,1,0,0
1193873693,1,1,0,0
1193897724,1,1,0,0
1193921825,1,1,0,0
1193941881,1,1,0,0
1193965695,1,1,0,0
1193989966,1,1,0,0
1194009712,1,1,0,0
1194033632,1,1,0,0
1194057674,1,1,0,0
1194077675,1,1,0,0
1194101648,1,1,0,0
1194121693,1,1,0,0
1194145687,1,1,0,0
1194170038,1,1,0,0
1194193706,1,1,0,0
1194213694,1,1,0,0
1194237702,1,1,0,0
1194257809,1,1,0,0
1194281654,1,1,0,0
1194301660,1,1,0,0
1194321706,1,1,0,0
1194345717,1,1,0,0
1194369627,1,1,0,0
1194393671,1,1,0,0
1194417651,1,1,0,0
1194438526,1,1,0,0
1194459297,1,1,0,0
1194479325,1,1,0,0
1194499453,1,1,0,0
1194523284,1,1,0,0
1194543604,1,1,0,0
1194563578,1,1,0,0
1194587307,1,1,0,0
1194607319,1,1,0,0
1194631252,1,1,0,0
1194651274,1,1,0,0
1194671575,1,1,0,0
1194695448,1,1,0,0
1194719219,1,1,0,0
1194739234,1,1,0,0
1194763530,1,1,0,0
1194787211,1,1,0,0
1194807248,1,1,0,0
1194831220,1,1,0,0
1194851549,1,1,0,0
1194871225,1,1,0,0
1194891291,1,1,0,0
1194915216,1,1,0,0
1194935248,1,1,0,0
1194959531,1,1,0,0
1194983284,1,1,0,0
1195003290,1,1,0,0
1195027294,1,1,0,0
1195047302,1,1,0,0
1195071295,1,1,0,0
1195095233,1,1,0,0
1195115276,1,1,0,0
1195135266,1,1,0,0
1195155283,1,1,0,0
1195179254,1,1,0,0
1195199311,1,1,0,0
1195223225,1,1,0,0
1195243227,1,1,0,0
1195263240,1,1,0,0
1195283561,1,1,0,0
