timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1184732700,-0.0010514744,-0.001123162,-0.00091472967,-0.9978224,0.0017113286,-0.0069353404,0.06556944,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1184857543,0.0017206725,-0.0025013052,-0.00027938292,-0.9978245,0.0017486598,-0.0069221393,0.06553907,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1184898430,0.0003549885,-0.00012829714,0.00094708893,-0.9978253,0.0017500835,-0.006929365,0.06552485,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1184942213,-0.0016882792,-0.00070833415,-0.0015651975,-0.9978246,0.0017686812,-0.006923573,0.06553799,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1184982299,0.0010599177,-0.0016750861,-0.0021958398,-0.99782336,0.0017687815,-0.006920777,0.06555677,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185026361,-0.0010724422,-0.002717588,0.00018045201,-0.9978238,0.0017759344,-0.006915077,0.06555117,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185066330,0.059996042,0.0070399307,-0.0012615719,-0.9978228,0.0016827851,-0.0069274916,0.06556594,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185110192,-0.08811516,0.045310564,-0.032473426,-0.9978238,0.0018874216,-0.0070224134,0.06553552,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185154322,-0.07640414,-0.041988775,0.020685546,-0.9978398,0.0018785823,-0.006960618,0.06529728,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185194166,-0.09330104,0.011779888,0.01714894,-0.997827,0.0024828871,-0.0071228617,0.065455504,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185234354,0.0007066224,0.0836041,-0.041282814,-0.9978436,0.0029461225,-0.0075886846,0.065129444,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185278383,-0.018276751,-0.01891967,0.056847334,-0.9978177,0.003670892,-0.007911272,0.065451555,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185318354,0.0074726,0.018176412,-0.039018095,-0.9977806,0.003571484,-0.008260177,0.065976545,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185362210,0.038138926,-0.0053913016,-0.023209294,-0.99779963,0.00295454,-0.0077926,0.06577669,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185406275,0.049238272,-0.020485055,0.027396563,-0.99783367,0.0020817588,-0.006947031,0.06538723,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185446191,0.021630486,-0.023081088,0.005706838,-0.99783653,0.0015278731,-0.0063535697,0.0654189,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185486276,-0.021531925,0.00037896447,0.009641286,-0.9978441,0.0013224164,-0.0061633224,0.06532557,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
1185530415,-0.026354173,0.027515145,0.005180812,-0.9978513,0.0017162734,-0.0062435027,0.06519995,0.09776278,-0.00055258215,0.015079263,-0.9950954,1
