timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
1182805297,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
1212776114,0.0,0.0,1.0,2.57222,-1.0,0.0,0.0,178,1,1,1,1,0,0
1250437056,0.0,0.0,1.0,7.202216,-1.0,0.0,0.0,178,1,1,1,1,0,0
1480005826,0.0,0.0,1.0,7.202216,0.0,0.0,0.0,178,1,1,1,5,0,1
1497922670,0.0,0.0,1.0,7.202216,0.0,0.0,0.0,178,1,1,1,5,0,1
1640250928,0.0,0.0,1.0,2.57222,-1.0,0.0,0.0,178,1,1,1,1,0,0
1640343686,0.0,0.0,1.0,2.57222,0.0,0.0,0.0,178,1,1,1,5,0,1
1660795463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,178,1,1,1,5,0,1
1711484613,0.0,0.0,1.0,7.19,0.0,0.0,0.0,178,1,1,1,5,0,1
1711748398,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31010,1,1,255,190,0,1
1713349263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31010,1,1,255,190,0,1
