timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2508751879,2508751674,-0.0069481735,-0.0153058935,-0.0004360252,0.4951647,0.0,0.0,0.0,-1.0
2508875820,2508875674,-0.0060231583,-0.016495261,-0.0016477116,0.5206916,0.0,0.0,0.0,-1.0
2508919856,2508919674,-0.0065442575,-0.016109493,-0.0014605874,0.52952796,0.0,0.0,0.0,-1.0
2508959860,2508959674,-0.0068347594,-0.015835559,-0.00084587565,0.5377517,0.0,0.0,0.0,-1.0
2509003806,2509003674,-0.009174563,-0.016297497,0.0019789094,0.5465173,0.0,0.0,0.0,-1.0
2509043810,2509043674,-0.006352468,-0.012273639,-0.002461027,0.55527765,0.0,0.0,0.0,-1.0
2509087852,2509087674,-0.0040527117,-0.016849723,0.00189418,0.5626827,0.0,0.0,0.0,-1.0
2509127846,2509127674,-0.0112596685,-0.01033007,-0.019297207,0.5732149,0.0,0.0,0.0,-1.0
2509167863,2509167674,-0.015624458,-0.0034165338,0.02197021,0.5803076,0.0,0.0,0.0,-1.0
2509209468,2509209276,-0.0037232349,-0.036915343,-0.006158787,0.59011793,0.0,0.0,0.0,-1.0
2509249442,2509249274,-0.0014255536,-0.005373796,-0.019274814,0.5979832,0.0,0.0,0.0,-1.0
2509293440,2509293282,-0.0135748,-0.024104888,0.004559513,0.60899675,0.0,0.0,0.0,-1.0
2509333414,2509333274,-0.0135802245,-0.035338104,0.005146622,0.6162725,0.0,0.0,0.0,-1.0
2509377488,2509377300,-0.010793312,-0.008312603,-0.00021745011,0.6266401,0.0,0.0,0.0,-1.0
2509417464,2509417274,-0.011499652,-0.012538198,-0.0010620327,0.6347837,0.0,0.0,0.0,-1.0
2509461466,2509461323,-0.0045671114,-0.02047901,0.0019616163,0.6441939,0.0,0.0,0.0,-1.0
2509501413,2509501274,-0.005466312,-0.015828734,0.0003527143,0.6528563,0.0,0.0,0.0,-1.0
2509545469,2509545282,-0.007266811,-0.015432674,-0.001355166,0.6624896,0.0,0.0,0.0,-1.0
2509585468,2509585274,-0.0076624844,-0.022186086,0.0007421488,0.67098856,0.0,0.0,0.0,-1.0
2509629465,2509629329,-0.007932913,-0.018797388,-0.00373668,0.68029547,0.0,0.0,0.0,-1.0
2509669412,2509669274,-0.00762179,-0.0056744013,-0.0031795958,0.6863283,0.0,0.0,0.0,-1.0
2509713500,2509713323,-0.0016955948,0.034431413,0.0055479165,0.68737596,0.0,0.0,0.0,-1.0
2509765416,2509765274,0.011377135,0.10212224,0.020989364,0.6830465,0.0,0.0,0.0,-1.0
2509809410,2509809274,0.014888962,0.14504293,0.024253894,0.69019216,0.0,0.0,0.0,-1.0
2509853414,2509853281,0.016618008,0.12189269,0.019678311,0.6649572,0.0,0.0,0.0,-1.0
2509893415,2509893280,0.008416652,0.08142167,0.016662534,0.6426532,0.0,0.0,0.0,-1.0
2509937454,2509937309,0.0030023286,0.057589866,0.0048261452,0.6215977,0.0,0.0,0.0,-1.0
2509977441,2509977297,0.025564957,0.07894002,-0.0108042145,0.59945047,0.0,0.0,0.0,-1.0
2510021406,2510021274,0.026464812,0.04212482,-0.015759686,0.5701495,0.0,0.0,0.0,-1.0
2510061409,2510061274,0.016303021,0.001209924,-0.0145694185,0.55067617,0.0,0.0,0.0,-1.0
2510105457,2510105317,0.014900764,-0.016414264,-0.024975682,0.53892523,0.0,0.0,0.0,-1.0
2510145468,2510145309,0.015644135,-0.026254442,-0.033899065,0.5301721,0.0,0.0,0.0,-1.0
2510189410,2510189274,-0.012273906,-0.011066072,-0.03345248,0.52424395,0.0,0.0,0.0,-1.0
2510229419,2510229280,-0.0030433808,0.0034593958,-0.03453736,0.51875037,0.0,0.0,0.0,-1.0
2510273453,2510273313,-0.025262635,-0.01159664,-0.035806622,0.5168874,0.0,0.0,0.0,-1.0
2510313440,2510313295,-0.030899616,-0.022451533,-0.038133923,0.5123593,0.0,0.0,0.0,-1.0
2510357432,2510357287,-0.02188749,-0.027256362,-0.04033078,0.51208156,0.0,0.0,0.0,-1.0
2510397420,2510397273,-0.028097412,-0.026266439,-0.038822122,0.51195616,0.0,0.0,0.0,-1.0
2510441444,2510441303,-0.037217185,-0.03237052,-0.03705172,0.51281774,0.0,0.0,0.0,-1.0
