timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
2505906185,2505645369,249,1104490297,260.816,255,190
2515905752,2515642238,250,1104490297,263.514,255,190
2526105920,2525637700,251,1104490297,468.22003,255,190
2536055501,2535634501,252,1104490297,421.00003,255,190
2545960739,2545639394,253,1104490297,321.345,255,190
2556013496,2555633698,254,1104490297,379.798,255,190
2566057719,2565634779,255,1104490297,422.94003,255,190
2575958510,2575642005,256,1104490297,316.505,255,190
2586007593,2585633938,257,1104490297,373.65503,255,190
2595913675,2595639594,258,1104490297,274.08102,255,190
2606011242,2605639845,259,1104490297,371.397,255,190
2616015127,2615632955,260,1104490297,382.17203,255,190
2625909586,2625641677,261,1104490297,267.90903,255,190
2635911818,2635632385,262,1104490297,279.433,255,190
2645917753,2645632736,263,1104490297,285.017,255,190
