timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
2507671141,2507671141,0,0,0,0,0,0,0,0,0,0,0
2509710814,2509710814,0,0,0,0,0,0,0,0,0,0,0
2510710920,2510710920,0,0,0,0,0,0,0,0,0,0,0
2511711389,2511711389,0,0,0,0,0,0,0,0,0,0,0
2512710461,2512710461,0,0,0,0,0,0,0,0,0,0,0
2513710467,2513710467,0,0,0,0,0,0,0,0,0,0,0
2514710507,2514710507,0,0,0,0,0,0,0,0,0,0,0
2515813208,2515813208,0,0,0,0,0,0,0,0,0,0,0
2516711085,2516711085,0,0,0,0,0,0,0,0,0,0,0
2517711469,2517711469,0,0,0,0,0,0,0,0,0,0,0
2518706241,2518706241,0,0,0,0,0,0,0,0,0,0,0
2519705063,2519705063,0,0,0,0,0,0,0,0,0,0,0
2520704712,2520704712,0,0,0,0,0,0,0,0,0,0,0
2521704985,2521704985,0,0,0,0,0,0,0,0,0,0,0
2522713716,2522713716,0,0,0,0,0,0,0,0,0,0,0
2523659484,2523659484,0,0,0,0,0,0,0,0,0,0,0
2524710490,2524710490,0,0,0,0,0,0,0,0,0,0,0
2525710572,2525710572,0,0,0,0,0,0,0,0,0,0,0
2526711572,2526711572,0,0,0,0,0,0,0,0,0,0,0
2527711796,2527711796,0,0,0,0,0,0,0,0,0,0,0
2528712523,2528712523,0,0,0,0,0,0,0,0,0,0,0
2529660556,2529660556,0,0,0,0,0,0,0,0,0,0,0
2530710509,2530710509,0,0,0,0,0,0,0,0,0,0,0
2531710504,2531710504,0,0,0,0,0,0,0,0,0,0,0
2532710558,2532710558,0,0,0,0,0,0,0,0,0,0,0
2533714220,2533714220,0,0,0,0,0,0,0,0,0,0,0
2534714285,2534714285,0,0,0,0,0,0,0,0,0,0,0
2535714243,2535714243,0,0,0,0,0,0,0,0,0,0,0
2536714292,2536714292,0,0,0,0,0,0,0,0,0,0,0
2537712991,2537712991,0,0,0,0,0,0,0,0,0,0,0
2538712405,2538712405,0,0,0,0,0,0,0,0,0,0,0
