timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2509091676,-0.11183195,-0.046535123,0.024767723,4002,0,2.6092038,1.3967319,-9.243306,4002
2509095690,0.016549636,-0.009754917,0.023561338,4014,0,1.1206118,1.3826927,-8.664275,4014
2509099674,0.0342666,-0.0048986,0.036362555,3984,0,1.262965,-2.0550313,-10.010557,3984
2509103674,-0.055118416,0.039577223,-0.02667713,4000,0,-0.04101812,-2.263466,-10.697142,4000
2509107674,-0.10704075,-0.026274828,0.041207433,4000,0,0.5329496,1.1627274,-10.1012335,4000
2509111674,0.02665199,0.004013278,0.06176737,4000,0,-0.42878744,1.1942878,-10.097268,4000
2509115709,-0.04328752,0.0056666816,0.019604515,4035,0,0.41892087,0.10113084,-9.970902,4035
2509119674,-0.11711008,-0.030091034,0.08161543,3965,0,-0.23172362,4.112112,-8.289964,3965
2509123674,0.0975909,0.050913338,0.02782627,4000,0,-0.5151256,1.1431068,-10.348922,4000
2509127674,-0.06551544,0.0027171874,0.053495478,4000,0,-1.0260218,-1.3009712,-10.420958,4000
2509131681,-0.056215268,0.011636262,0.051305383,4007,0,-0.85568446,0.55722785,-9.8248625,4007
2509135690,0.049600933,0.03006665,0.0351741,4009,0,-0.7339,-1.6804825,-9.998155,4009
2509139674,-0.09865362,0.022854125,0.018124102,3984,0,0.33170137,-0.715485,-9.582498,3984
2509143674,-0.050095066,0.013063623,0.0118096545,4000,0,1.445538,2.3892446,-9.113648,4000
2509147674,0.026791764,0.02277764,-0.030962812,4000,0,2.0415995,1.6666942,-9.660679,4000
2509151674,-0.058054224,0.013245121,-0.04652217,4000,0,2.4499779,1.6908003,-9.762289,4000
2509155720,-0.015171889,-0.011244515,-0.049080715,4046,0,2.1193912,1.9451668,-9.629288,4046
2509159674,0.056322116,-0.020511104,-0.07278927,3954,0,0.80868554,-1.2498991,-10.273393,3954
2509163674,-0.05134115,-0.021153018,-0.069054104,4000,0,-0.6312994,-2.4700391,-10.174139,4000
2509167674,-0.029826002,-0.026106955,-0.05603491,4000,0,-1.9660187,-2.355334,-9.605028,4000
2509171680,-0.013419262,-0.016988132,-0.051824328,4006,0,-3.2444925,-3.1026735,-10.1906,4006
2509176488,-0.08705017,0.017368274,-0.018184451,4808,0,-3.632435,-1.5737761,-10.277999,4808
2509181280,-0.0539507,0.036770497,0.01114277,4792,0,-2.6012464,0.0614938,-10.230595,4792
2509185273,-0.022498827,0.058057915,0.020446455,3993,0,-1.6970866,0.058734037,-10.720576,3993
2509189274,-0.051347293,0.07677798,0.034036722,4001,0,-0.5765219,0.06083878,-10.3307705,4001
