timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2595722701,112.31708,49.789997,99983.195,1.1879658
2595734695,112.57074,49.789997,99980.19,1.18793
2595758757,111.81239,49.8,99989.19,1.1880369
2595770687,112.31708,49.8,99983.19,1.1879656
2595782681,112.48618,49.8,99981.19,1.1879419
2595806567,112.23252,49.789997,99984.195,1.1879777
2595818303,112.066055,49.789997,99986.19,1.1880013
2595830978,112.48618,49.789997,99981.195,1.187942
2595854670,112.066055,49.789997,99986.19,1.1880013
2595866617,112.99087,49.789997,99975.195,1.1878707
2595878585,112.066055,49.789997,99986.19,1.1880013
2595903286,112.23252,49.8,99984.19,1.1879776
2595914687,112.57074,49.8,99980.18,1.1879299
2595926712,112.066055,49.8,99986.18,1.1880013
2595950613,111.9815,49.789997,99987.195,1.1880133
2595962703,112.31708,49.789997,99983.195,1.1879658
2595977126,112.31708,49.789997,99983.195,1.1879658
2596001303,112.5681,49.78,99980.195,1.1879301
2596014188,112.90631,49.78,99976.2,1.1878827
2596025166,112.48354,49.78,99981.2,1.187942
2596050145,112.066055,49.789997,99986.19,1.1880013
2596062766,111.81239,49.789997,99989.195,1.188037
2596074720,112.147964,49.789997,99985.195,1.1879895
2596098622,112.401634,49.789997,99982.195,1.1879538
2596110722,112.147964,49.789997,99985.195,1.1879895
2596122714,112.57074,49.789997,99980.19,1.18793
2596146735,112.737206,49.789997,99978.195,1.1879064
2596158735,112.48618,49.789997,99981.195,1.187942
2596170678,112.90631,49.789997,99976.195,1.1878825
2596194671,112.23252,49.789997,99984.195,1.1879777
2596207190,111.9815,49.789997,99987.195,1.1880133
2596218727,111.81239,49.789997,99989.195,1.188037
2596242729,111.9815,49.789997,99987.195,1.1880133
2596254937,111.72784,49.789997,99990.195,1.188049
2596266660,112.066055,49.789997,99986.19,1.1880013
2596290666,112.147964,49.789997,99985.195,1.1879895
2596302804,112.066055,49.789997,99986.19,1.1880013
2596315244,112.737206,49.789997,99978.195,1.1879064
2596339940,112.48618,49.789997,99981.195,1.187942
2596352524,112.066055,49.789997,99986.19,1.1880013
2596364020,112.066055,49.789997,99986.19,1.1880013
2596387938,112.066055,49.789997,99986.19,1.1880013
2596400670,111.9815,49.789997,99987.195,1.1880133
2596412632,112.48618,49.789997,99981.195,1.187942
2596439201,112.65265,49.789997,99979.195,1.1879182
2596450954,111.81239,49.789997,99989.195,1.188037
2596464260,112.147964,49.789997,99985.195,1.1879895
2596488407,112.90631,49.78,99976.2,1.1878827
2596500092,112.48354,49.78,99981.2,1.187942
2596512577,112.65265,49.78,99979.2,1.1879183
2596536699,112.65265,49.78,99979.2,1.1879183
2596548049,112.82176,49.78,99977.2,1.1878946
2596560324,112.063416,49.78,99986.195,1.1880014
2596584671,112.737206,49.78,99978.2,1.1879064
2596596663,112.48354,49.78,99981.2,1.187942
2596608624,112.48354,49.78,99981.2,1.187942
2596632538,112.066055,49.789997,99986.19,1.1880013
2596644096,112.23252,49.789997,99984.195,1.1879777
2596655957,112.57074,49.789997,99980.19,1.18793
2596680143,112.90631,49.789997,99976.195,1.1878825
2596691840,112.23252,49.789997,99984.195,1.1879777
2596704254,112.90631,49.789997,99976.195,1.1878825
2596728550,111.97886,49.78,99987.2,1.1880134
2596739917,112.82176,49.78,99977.2,1.1878946
2596752303,112.82176,49.78,99977.2,1.1878946
2596778737,112.401634,49.789997,99982.195,1.1879538
2596791548,112.48618,49.789997,99981.195,1.187942
2596803855,112.90631,49.789997,99976.195,1.1878825
2596828677,112.31708,49.78,99983.2,1.1879659
2596840668,112.39899,49.78,99982.2,1.187954
2596851859,112.65265,49.78,99979.2,1.1879183
2596876637,112.99087,49.78,99975.2,1.1878707
2596888675,112.5681,49.78,99980.195,1.1879301
2596900662,112.65265,49.78,99979.2,1.1879183
2596924650,112.48354,49.78,99981.2,1.187942
2596936760,113.24189,49.78,99972.2,1.1878351
2596948649,113.24189,49.78,99972.2,1.1878351
2596971846,112.82176,49.78,99977.2,1.1878946
2596986933,112.5681,49.78,99980.195,1.1879301
2597000060,112.65265,49.78,99979.2,1.1879183
2597024200,112.23252,49.77,99984.21,1.1879778
2597035868,112.5681,49.77,99980.2,1.1879302
2597048561,112.5681,49.77,99980.2,1.1879302
2597072337,112.65265,49.78,99979.2,1.1879183
2597083891,113.075424,49.78,99974.195,1.1878588
2597096166,112.65265,49.78,99979.2,1.1879183
2597120844,112.737206,49.78,99978.2,1.1879064
2597132639,112.99087,49.78,99975.2,1.1878707
2597144680,112.90631,49.78,99976.2,1.1878827
2597168533,113.075424,49.78,99974.195,1.1878588
2597179852,112.82176,49.78,99977.2,1.1878946
2597192538,112.5681,49.78,99980.195,1.1879301
2597216118,112.5681,49.78,99980.195,1.1879301
2597228086,113.24189,49.78,99972.2,1.1878351
2597240054,112.48354,49.78,99981.2,1.187942
2597264257,112.65265,49.78,99979.2,1.1879183
2597275917,112.5681,49.78,99980.195,1.1879301
2597288087,112.39899,49.78,99982.2,1.187954
2597312232,111.97886,49.78,99987.2,1.1880134
2597323876,113.075424,49.78,99974.195,1.1878588
2597336230,112.48354,49.78,99981.2,1.187942
2597360378,112.90631,49.78,99976.2,1.1878827
2597371925,112.31708,49.78,99983.2,1.1879659
2597386962,112.737206,49.78,99978.2,1.1879064
2597411846,112.65265,49.77,99979.21,1.1879184
2597424532,112.65265,49.77,99979.21,1.1879184
2597436088,112.48354,49.77,99981.21,1.1879421
2597459882,111.97886,49.78,99987.2,1.1880134
2597472342,113.49291,49.78,99969.2,1.1877995
2597483935,113.24189,49.78,99972.2,1.1878351
2597507927,112.147964,49.78,99985.2,1.1879896
2597520581,112.90631,49.78,99976.2,1.1878827
2597531862,112.48354,49.78,99981.2,1.187942
2597559614,112.90631,49.78,99976.2,1.1878827
2597571871,112.65265,49.78,99979.2,1.1879183
2597586975,112.99087,49.78,99975.2,1.1878707
2597610864,112.48354,49.78,99981.2,1.187942
2597624279,112.39899,49.78,99982.2,1.187954
2597635871,112.39899,49.78,99982.2,1.187954
2597660066,112.39899,49.77,99982.21,1.1879541
2597672219,112.39899,49.77,99982.21,1.1879541
2597683824,113.410995,49.77,99970.21,1.1878115
2597707865,112.5681,49.78,99980.195,1.1879301
2597720199,112.48354,49.78,99981.2,1.187942
2597731924,111.97886,49.78,99987.2,1.1880134
2597756715,112.48354,49.78,99981.2,1.187942
2597768667,112.65265,49.78,99979.2,1.1879183
2597780666,112.90631,49.78,99976.2,1.1878827
2597804705,112.39899,49.78,99982.2,1.187954
2597817001,112.65265,49.78,99979.2,1.1879183
2597828654,113.15997,49.78,99973.195,1.1878469
2597851741,112.48354,49.78,99981.2,1.187942
2597864590,112.31708,49.78,99983.2,1.1879659
2597875875,112.5681,49.78,99980.195,1.1879301
2597900056,112.147964,49.78,99985.2,1.1879896
2597912534,112.99087,49.78,99975.2,1.1878707
2597924688,112.65265,49.78,99979.2,1.1879183
2597948133,112.5681,49.78,99980.195,1.1879301
2597960679,112.5681,49.78,99980.195,1.1879301
2597972650,112.65265,49.78,99979.2,1.1879183
2597999264,113.24189,49.78,99972.2,1.1878351
2598010964,112.90631,49.78,99976.2,1.1878827
2598023130,113.32644,49.78,99971.2,1.1878233
2598048198,112.48354,49.78,99981.2,1.187942
2598059832,112.23252,49.78,99984.2,1.1879778
2598072243,113.075424,49.78,99974.195,1.1878588
2598096912,112.147964,49.78,99985.2,1.1879896
2598108684,112.65265,49.78,99979.2,1.1879183
2598121021,112.23252,49.78,99984.2,1.1879778
2598144645,113.24189,49.77,99972.21,1.1878352
2598155846,112.737206,49.77,99978.21,1.1879065
2598168219,112.48354,49.77,99981.21,1.1879421
2598192317,112.31444,49.77,99983.21,1.187966
2598203904,113.07278,49.77,99974.2,1.1878589
2598216519,112.147964,49.77,99985.21,1.1879897
2598240673,112.23252,49.77,99984.21,1.1879778
2598252030,112.737206,49.77,99978.21,1.1879065
2598264533,112.65265,49.77,99979.21,1.1879184
2598288550,112.39899,49.78,99982.2,1.187954
2598300157,112.90631,49.78,99976.2,1.1878827
2598312568,112.5681,49.78,99980.195,1.1879301
2598336648,113.24189,49.77,99972.21,1.1878352
2598348035,112.5681,49.77,99980.2,1.1879302
2598360638,112.819115,49.77,99977.21,1.1878947
2598384302,112.39899,49.78,99982.2,1.187954
2598395820,112.82176,49.78,99977.2,1.1878946
2598408258,113.24189,49.78,99972.2,1.1878351
2598432316,113.57746,49.77,99968.21,1.1877878
2598444097,112.737206,49.77,99978.21,1.1879065
2598456832,112.65265,49.77,99979.21,1.1879184
2598480650,112.5681,49.78,99980.195,1.1879301
2598491834,112.48354,49.78,99981.2,1.187942
2598504714,113.24189,49.78,99972.2,1.1878351
2598528850,112.48354,49.78,99981.2,1.187942
2598540718,112.82176,49.78,99977.2,1.1878946
2598552542,112.65265,49.78,99979.2,1.1879183
2598578791,112.90367,49.77,99976.21,1.1878828
2598591484,112.5681,49.77,99980.2,1.1879302
2598603870,112.65265,49.77,99979.21,1.1879184
2598628043,112.23252,49.77,99984.21,1.1879778
2598640403,111.80975,49.77,99989.21,1.1880373
2598652016,113.24189,49.77,99972.21,1.1878352
2598676659,111.97886,49.78,99987.2,1.1880134
2598688682,112.23252,49.78,99984.2,1.1879778
2598699858,112.737206,49.78,99978.2,1.1879064
2598724680,112.23252,49.77,99984.21,1.1879778
2598736665,113.07278,49.77,99974.2,1.1878589
2598748670,112.819115,49.77,99977.21,1.1878947
2598771774,112.737206,49.78,99978.2,1.1879064
2598784870,111.81239,49.78,99989.2,1.1880372
2598796670,112.23252,49.78,99984.2,1.1879778
2598820677,112.5681,49.77,99980.2,1.1879302
2598832729,112.39899,49.77,99982.21,1.1879541
2598843850,112.5681,49.77,99980.2,1.1879302
2598867772,111.389626,49.78,99994.2,1.1880965
2598880535,113.075424,49.78,99974.195,1.1878588
2598891791,112.48354,49.78,99981.2,1.187942
2598916838,112.23252,49.78,99984.2,1.1879778
2598929053,113.075424,49.78,99974.195,1.1878588
2598940837,112.737206,49.78,99978.2,1.1879064
2598964698,112.65265,49.78,99979.2,1.1879183
2598978730,113.075424,49.78,99974.195,1.1878588
2598991308,112.063416,49.78,99986.195,1.1880014
2599015326,112.23252,49.78,99984.2,1.1879778
