timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
2508204597,inf,0,0,0,0
2509216265,inf,0,0,0,0
2510216556,inf,0,0,0,0
2511230803,inf,0,0,0,0
2512244341,inf,0,0,0,0
2513244567,inf,0,0,0,0
2514256948,inf,0,0,0,0
2515274494,inf,0,0,0,0
2516286661,inf,0,0,0,0
2517298515,inf,0,0,0,0
2518306270,inf,0,0,0,0
2519314112,inf,0,0,0,0
2520328536,inf,0,0,0,0
2521332602,inf,0,0,0,0
2522348574,inf,0,0,0,0
2523361617,inf,0,0,0,0
2524375485,inf,0,0,0,0
2525385722,inf,0,0,0,0
2526399492,inf,0,0,0,0
2527416562,inf,0,0,0,0
2528431785,inf,0,0,0,0
2529447498,inf,0,0,0,0
2530465544,inf,0,0,0,0
2531465723,inf,0,0,0,0
2532485478,inf,0,0,0,0
2533498492,inf,0,0,0,0
2534511482,inf,0,0,0,0
2535526621,inf,0,0,0,0
2536534559,inf,0,0,0,0
2537549482,inf,0,0,0,0
2538568560,inf,0,0,0,0
2539584752,inf,0,0,0,0
2540595024,inf,0,0,0,0
2540657927,inf,0,0,1,0
2540759507,inf,0,0,0,0
2541773362,inf,0,0,0,0
2542785842,inf,0,0,0,0
2543802789,inf,0,0,0,0
2544823123,inf,0,0,0,0
2545832556,inf,0,0,0,0
2546851607,inf,0,0,0,0
2547864826,inf,0,0,0,0
2548881480,inf,0,0,0,0
2549901499,inf,0,0,0,0
2550915486,inf,0,0,0,0
2551923069,inf,0,0,0,0
2552935489,inf,0,0,0,0
2553949025,inf,0,0,0,0
2554963488,inf,0,0,0,0
2555973474,inf,0,0,0,0
2556985478,inf,0,0,0,0
2557998748,inf,0,0,0,0
2559013167,inf,0,0,0,0
2560031535,inf,0,0,0,0
2561041530,inf,0,0,0,0
2562059479,inf,0,0,0,0
2563079523,inf,0,0,0,0
2564091477,inf,0,0,0,0
2565110568,inf,0,0,0,0
2566125541,inf,0,0,0,0
2567137792,inf,0,0,0,0
2568153463,inf,0,0,0,0
2569171474,inf,0,0,0,0
2570174686,inf,0,0,0,0
2571190524,inf,0,0,0,0
2572200535,inf,0,0,0,0
2573221683,inf,0,0,0,0
2574229878,inf,0,0,0,0
2575239478,inf,0,0,0,0
2576243049,inf,0,0,0,0
2580291899,inf,0,0,0,0
2581306731,inf,0,0,0,0
2582308690,inf,0,0,0,0
2583329504,inf,0,0,0,0
2584333477,inf,0,0,0,0
2585338497,inf,0,0,0,0
2586351485,inf,0,0,0,0
2587368972,inf,0,0,0,0
2588385067,inf,0,0,0,0
2589387836,inf,0,0,0,0
2590399765,inf,0,0,0,0
2591404558,inf,0,0,0,0
2592419809,inf,0,0,0,0
2593421523,inf,0,0,0,0
2594421706,inf,0,0,0,0
2595427475,inf,0,0,0,0
2596436563,inf,0,0,0,0
2597455487,inf,0,0,0,0
2598464602,inf,0,0,0,0
2599480560,inf,0,0,0,0
2600497485,inf,0,0,0,0
2601512555,inf,0,0,0,0
2602529945,inf,0,0,0,0
2603542487,inf,0,0,0,0
2604554543,inf,0,0,0,0
2605566509,inf,0,0,0,0
2606575478,inf,0,0,0,0
2607588541,inf,0,0,0,0
2608605474,inf,0,0,0,0
2609619768,inf,0,0,0,0
2610633855,inf,0,0,0,0
2611641493,inf,0,0,0,0
2612646716,inf,0,0,0,0
2613657482,inf,0,0,0,0
2614671550,inf,0,0,0,0
2615692549,inf,0,0,0,0
2616708569,inf,0,0,0,0
2617724704,inf,0,0,0,0
2618741833,inf,0,0,0,0
2619753514,inf,0,0,0,0
2620765481,inf,0,0,0,0
2621777022,inf,0,0,0,0
2622787123,inf,0,0,0,0
2623793072,inf,0,0,0,0
2624806483,inf,0,0,0,0
2625817474,inf,0,0,0,0
2626828960,inf,0,0,0,0
2627840556,inf,0,0,0,0
2628849956,inf,0,0,0,0
2629861045,inf,0,0,0,0
2630869033,inf,0,0,0,0
2631882504,inf,0,0,0,0
2632895796,inf,0,0,0,0
2633915860,inf,0,0,0,0
2634924552,inf,0,0,0,0
2635943518,inf,0,0,0,0
2636962475,inf,0,0,0,0
2637977481,inf,0,0,0,0
2638990509,inf,0,0,0,0
2640002320,inf,0,0,0,0
2641019718,inf,0,0,0,0
2642032999,inf,0,0,0,0
2643049061,inf,0,0,0,0
2644060525,inf,0,0,0,0
2645072610,inf,0,0,0,0
2646089474,inf,0,0,0,0
2647107747,inf,0,0,0,0
2648122515,inf,0,0,0,0
2649131474,inf,0,0,0,0
2650102562,inf,0,0,1,0
2650391492,inf,0,0,0,1
2650723476,inf,1,0,0,0
2651736566,inf,1,0,0,0
2652756120,inf,1,0,0,0
