timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
2706178294,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
2734892017,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
2734996395,2,0,1,23,0,0,1,0,0,0,0,0,0,0
2735085161,2,1,2,23,0,0,1,0,0,0,0,0,0,0
2735100102,2,2,3,23,0,0,1,0,0,0,0,0,0,0
2762233892,2,3,4,23,0,0,1,0,0,0,0,0,0,0
2762269606,2,4,5,23,0,0,1,0,0,0,0,0,0,0
2817461912,2,5,6,23,0,0,1,0,0,0,0,0,0,0
2828655757,2,6,7,23,0,0,1,0,0,0,0,0,0,0
2853907730,2,7,8,23,0,0,1,0,0,0,0,0,0,0
2886619251,2,8,9,23,0,0,1,0,0,0,0,0,0,0
2911834779,2,9,10,23,0,0,1,0,0,0,0,0,0,0
2958408030,2,10,11,23,0,0,1,0,0,0,0,0,0,0
2997634722,2,11,12,23,0,0,1,0,0,0,0,0,0,0
3013454148,2,12,19,23,13,1,1,0,0,0,0,0,1,0
3087748684,2,19,20,23,0,0,1,0,0,0,0,0,0,0
3087800598,2,20,21,23,0,0,1,0,0,0,0,0,0,0
3110066769,2,21,22,23,0,0,1,0,0,0,0,0,0,0
