timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
2708899827,0.00043115532,-0.001117822,-0.0012952199,0.00032900227,0.00066931715,4.3581058e-05,0.0
2709059072,-0.0012523937,-0.0013034942,0.0010387214,0.0007677917,0.0015950958,0.000100508056,0.0
2709091077,0.00038207648,-0.00061962754,-0.00031864992,0.00085437746,0.0017779873,0.000107614316,0.0
2709123843,-0.010077557,-0.0040758317,0.0033396329,0.00094237993,0.0019723224,0.00010535905,0.0
2709155838,0.010915935,-8.802931e-05,-0.01696188,0.0010223477,0.0021436228,0.00012047168,0.0
2709187861,-0.0025988629,0.022438776,-0.019321637,0.0011049513,0.0022867522,0.0003223445,0.0
2709219888,0.00411266,0.0071247155,0.046609126,0.0011696921,0.0025219733,0.00015308286,0.0
2709251879,0.014697537,0.046504613,-0.042836756,0.0012396622,0.0025835363,0.0002177255,0.0
2709283833,0.040939394,0.02086274,0.062751584,0.0012261133,0.0026770553,9.118205e-05,0.0
2709316002,0.0073122364,-0.010655704,-0.024977349,0.0013058144,0.0028679934,-2.4921797e-05,0.0
2709347887,-0.0036308027,-0.03023029,0.03923423,0.0013339055,0.0030320208,-8.571231e-05,0.0
2709379887,-0.010421887,-0.053970024,-0.039724555,0.0014250246,0.0032637788,-3.3040055e-06,0.0
2709411834,-0.032341223,-0.04064117,0.009717026,0.001533656,0.0035146,3.87865e-05,0.0
2709444639,-0.021834224,-0.023470491,-0.005525305,0.0016299689,0.0037602666,3.3355936e-05,0.0
2709476684,-0.013656407,-0.017025061,-0.0043981,0.0017330418,0.003994209,6.507282e-05,0.0
2709508636,0.007820737,0.020910483,-0.0036799095,0.0018120741,0.0041352706,9.961671e-05,0.0
2709540662,0.01359654,0.033504438,-0.007873957,0.0018847686,0.0042504733,0.00014170234,0.0
2709572660,0.020059722,0.057052433,-0.004224347,0.0019157428,0.004361073,0.00018150652,0.0
2709604714,0.0139691625,0.039407402,-0.006799618,0.0019421206,0.004452906,0.00023485345,0.0
