timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
4391247761,37.10249354931131,-76.3884392295923,14.046909,-0.0,-0.0068511283,0.04633549,-0.8989493,-0.073423676,1.2163095,1.8802947,0.0,2,0,0,0
4391448841,37.1024936201208,-76.38843908979662,14.23499,-0.0,0.02919168,0.121199116,-0.9499902,-0.072696134,1.2164105,1.880337,0.0,2,0,0,0
4391649228,37.10249387580796,-76.38843888324497,14.435848,-0.0,0.048179723,0.15328047,-0.9783552,-0.07151222,1.2164742,1.8803744,0.0,2,0,0,0
4391854028,37.10249421640427,-76.38843857001885,14.635914,-0.0,0.080638744,0.2154642,-1.0030564,-0.06612989,1.2167244,1.8804595,0.0,2,0,0,0
4392054163,37.10249438524701,-76.38843807406583,14.857704,-0.0,0.123524316,0.2741387,-1.0559394,-0.057940096,1.2168238,1.8804933,0.0,2,0,0,0
4392254950,37.10249472344492,-76.38843736321535,15.078218,-0.0,0.16042256,0.327831,-1.0637958,-0.054477252,1.2169155,1.8805279,0.0,2,0,0,0
4392455735,37.10249509112898,-76.38843667817379,15.28179,-0.0,0.14798544,0.3650831,-1.0374814,-0.05992065,1.2169951,1.8805511,0.0,2,0,0,0
4392656592,37.10249529635608,-76.38843586425938,15.473516,-0.0,0.09529035,0.34327272,-1.0408472,-0.06833943,1.2171047,1.8803638,0.0,2,0,0,0
4392857436,37.10249531876312,-76.38843521698023,15.651376,-0.0,-0.003147934,0.268313,-1.0251882,-0.075544536,1.2172115,1.8804041,0.0,2,0,0,0
4393062146,37.10249518420025,-76.38843469736568,15.799625,-0.0,-0.1275038,0.21370131,-0.96151084,-0.082723096,1.2106471,1.880323,0.0,2,0,0,0
4393266194,37.102494885325584,-76.38843434894613,15.930908,-0.0,-0.24664184,0.100278206,-0.9090645,-0.085753165,1.2107875,1.880363,0.0,2,0,0,0
4393470949,37.10249452471448,-76.3884342722903,16.052208,-0.0,-0.30944592,0.007182825,-0.9030124,-0.087749004,1.2111539,1.880245,0.0,2,0,0,0
4393671727,37.10249404739116,-76.38843443935215,16.188004,-0.0,-0.3264942,-0.07579398,-0.9599414,-0.09249597,1.2112795,1.8802804,0.0,2,0,0,0
4393872560,37.10249352984362,-76.38843459944522,16.322111,-0.0,-0.2864605,-0.07487167,-0.9728621,-0.0957281,1.2114447,1.8803183,0.0,2,0,0,0
4394072622,37.10249317876822,-76.38843471712816,16.467072,-0.0,-0.19317424,-0.0732993,-1.0330417,-0.09707291,1.2115873,1.8803537,0.0,2,0,0,0
4394273211,37.10249313202398,-76.38843494931886,16.62638,-0.0,-0.07145154,-0.05835774,-1.087893,-0.09866271,1.2117262,1.8801757,0.0,2,0,0,0
4394474182,37.10249326595512,-76.3884350840413,16.804081,-0.0,0.032221522,-0.030446477,-1.0924908,-0.10087687,1.2118552,1.8802077,0.0,2,0,0,0
4394674833,37.102493474142726,-76.3884351831488,16.977438,-0.0,0.07784757,-0.027138263,-1.0872716,-0.10293015,1.2118729,1.8802123,0.0,2,0,0,0
4394874963,37.102493737255514,-76.38843519975549,17.142208,-0.0,0.085526645,-0.037346058,-1.0929372,-0.1028418,1.2120137,1.880258,0.0,2,0,0,0
4395075886,37.1024939807107,-76.38843522006117,17.315716,-0.0,0.0832908,-0.03173445,-1.09712,-0.10191274,1.2121488,1.8803014,0.0,2,0,0,0
4395280633,37.10249427878115,-76.38843531030878,17.495941,-0.0,0.095440604,-0.035623062,-1.1048274,-0.1006837,1.2125328,1.8801957,0.0,2,0,0,0
4395481330,37.10249463705879,-76.38843546765946,17.673561,-0.0,0.10814067,-0.06439487,-1.1294359,-0.09693414,1.212657,1.8802383,0.0,2,0,0,0
4395686114,37.10249497384326,-76.38843565279713,17.855051,-0.0,0.11636303,-0.07844426,-1.0970702,-0.09432438,1.2127742,1.880284,0.0,2,0,0,0
4395890272,37.10249518312805,-76.38843583345978,18.02383,-0.0,0.050354138,-0.07808355,-1.1059716,-0.094368935,1.2131988,1.8801948,0.0,2,0,0,0
4396090935,37.102495268480645,-76.38843605833964,18.201832,-0.0,-0.050087534,-0.060783084,-1.1488978,-0.096257575,1.213352,1.8802321,0.0,2,0,0,0
4396295815,37.10249519017422,-76.38843632958697,18.379364,-0.0,-0.080570556,-0.08499726,-1.1131492,-0.08669444,1.2137516,1.880141,0.0,2,0,0,0
4396496558,37.10249511322158,-76.3884367732357,18.538742,-0.0,-0.062452443,-0.14787468,-0.96008724,-0.08149003,1.2137536,1.8801552,0.0,2,0,0,0
4396701332,37.10249510355967,-76.38843738025359,18.687382,-0.0,-0.103624016,-0.21298686,-0.8497569,-0.08505337,1.2138923,1.8802059,0.0,2,0,0,0
4396901483,37.10249494171398,-76.38843806684613,18.83259,-0.0,-0.26737905,-0.30483827,-0.8689675,-0.089797355,1.2140418,1.8802541,0.0,2,0,0,0
4397102031,37.10249449268829,-76.38843890217872,18.998579,-0.0,-0.3990436,-0.3709971,-0.8674451,-0.08632379,1.21444,1.8801554,0.0,2,0,0,0
4397302977,37.102493887413054,-76.38843987506918,19.169437,-0.0,-0.4186822,-0.41975808,-0.9754239,-0.07650835,1.2144582,1.8801645,0.0,2,0,0,0
4397503728,37.102493418128766,-76.38844079505367,19.360813,-0.0,-0.31507713,-0.3513004,-1.0738766,-0.0689647,1.214617,1.8802154,0.0,2,0,0,0
4397703620,37.10249314401515,-76.38844151123868,19.575968,-0.0,-0.16868067,-0.26442924,-1.1585919,-0.0695253,1.2147604,1.8802689,0.0,2,0,0,0
4397908396,37.10249299721449,-76.38844197699589,19.818087,-0.0,-0.01234755,-0.16044974,-1.211493,-0.07369277,1.2149347,1.8803211,0.0,2,0,0,0
4398109323,37.10249306968462,-76.3884422523744,20.081333,-0.0,0.10768651,-0.08274908,-1.2754697,-0.07582641,1.2153399,1.8802239,0.0,2,0,0,0
4398310027,37.10249329891925,-76.38844234589031,20.35631,-0.0,0.19082905,-0.020829787,-1.2962611,-0.07548176,1.215309,1.880239,0.0,2,0,0,0
4398510948,37.10249360671644,-76.38844232034354,20.642738,-0.0,0.2414484,0.04326063,-1.316967,-0.07727918,1.2154329,1.8802866,0.0,2,0,0,0
4398714770,37.102494062066725,-76.38844212678465,20.938385,-0.0,0.28102002,0.112888604,-1.337962,-0.076653905,1.2155099,1.8803275,0.0,2,0,0,0
4398915814,37.1024946511444,-76.38844179936682,21.238693,-0.0,0.3041964,0.17554604,-1.363494,-0.07146134,1.2156181,1.8803692,0.0,2,0,0,0
4399116534,37.10249527826847,-76.38844139108252,21.535816,-0.0,0.28935164,0.19649678,-1.3578651,-0.0653069,1.2156835,1.8803991,0.0,2,0,0,0
4399317340,37.102495855168165,-76.38844095879564,21.828556,-0.0,0.28498802,0.22932701,-1.3673847,-0.06288528,1.216043,1.8802981,0.0,2,0,0,0
4399521180,37.10249638338751,-76.38844047136381,22.121586,-0.0,0.25959995,0.24973816,-1.3579694,-0.06589073,1.2159401,1.8803021,0.0,2,0,0,0
4399722027,37.10249682918578,-76.38843997747882,22.405697,-0.0,0.2282037,0.24625821,-1.34961,-0.07271514,1.2159268,1.8803468,0.0,2,0,0,0
4399922913,37.10249719842881,-76.38843955095332,22.683285,-0.0,0.17870216,0.22209083,-1.3491396,-0.07729106,1.2159461,1.8801699,0.0,2,0,0,0
4400127620,37.10249750713748,-76.3884392181983,22.954998,-0.0,0.10958534,0.176782,-1.3354427,-0.079170294,1.2162788,1.8802958,0.0,2,0,0,0
4400328524,37.10249772904995,-76.38843901654987,23.20362,-0.0,0.03642491,0.13834026,-1.325636,-0.08129261,1.2163212,1.880342,0.0,2,0,0,0
4400529200,37.10249782939692,-76.3884389186505,23.465477,-0.0,-0.010786955,0.09131722,-1.3622435,-0.08197425,1.2163687,1.880174,0.0,2,0,0,0
4400733336,37.10249784641289,-76.38843891830658,23.745913,-0.0,-0.024241604,0.062774286,-1.3518401,-0.08360915,1.2163956,1.88022,0.0,2,0,0,0
4400934025,37.10249787468032,-76.38843905397408,24.024223,-0.0,-0.002111054,-0.0048763966,-1.3651868,-0.08142515,1.2164187,1.8802593,0.0,2,0,0,0
4401134950,37.10249789877881,-76.38843928324067,24.29557,-0.0,-0.0009834648,-0.03156654,-1.2962443,-0.078547366,1.2164311,1.8803093,0.0,2,0,0,0
4401335810,37.10249792903447,-76.38843961806448,24.565483,-0.0,-0.0014788879,-0.065676734,-1.2754889,-0.07339426,1.2164385,1.8803604,0.0,2,0,0,0
4401535789,37.10249795386885,-76.38844006704822,24.847862,-0.0,-0.033552624,-0.1111906,-1.2787503,-0.06886254,1.216475,1.8804036,0.0,2,0,0,0
4401736544,37.102497866538236,-76.38844054485021,25.14,-0.0,-0.10232247,-0.129358,-1.2594597,-0.065639704,1.216666,1.8802669,0.0,2,0,0,0
4401937420,37.102497655807724,-76.3884409962399,25.43229,-0.0,-0.17075565,-0.17487283,-1.2952031,-0.059942435,1.2166331,1.8803091,0.0,2,0,0,0
4402138258,37.10249737118136,-76.3884414311112,25.740395,-0.0,-0.18521819,-0.1668786,-1.3372093,-0.056780793,1.2165023,1.88032,0.0,2,0,0,0
4402338151,37.10249706945351,-76.3884418308826,26.04309,-0.0,-0.16515963,-0.1114981,-1.3928336,-0.057864126,1.2165169,1.8803707,0.0,2,0,0,0
4402542822,37.10249682139899,-76.38844210651533,26.367958,-0.0,-0.08868502,-0.02568671,-1.4472427,-0.06072138,1.2168055,1.8802707,0.0,2,0,0,0
4402743613,37.10249668317805,-76.38844216647561,26.681183,-0.0,-0.041514877,0.071463645,-1.441882,-0.06293129,1.2168403,1.8803222,0.0,2,0,0,0
4402948381,37.1024965597625,-76.38844194512245,26.967316,-0.0,-0.046496134,0.19151472,-1.4216406,-0.06929016,1.2168609,1.8803711,0.0,2,0,0,0
4403149341,37.10249639514685,-76.38844147815703,27.252705,-0.0,-0.10150032,0.30877164,-1.4317486,-0.07654757,1.2168918,1.8802011,0.0,2,0,0,0
4403349319,37.102496085519675,-76.38844080222633,27.53955,-0.0,-0.2045548,0.37614775,-1.4084535,-0.081892416,1.216892,1.8802526,0.0,2,0,0,0
4403554009,37.10249558043326,-76.38843993513764,27.827076,-0.0,-0.30002394,0.42514646,-1.4089259,-0.086543426,1.2171652,1.8803687,0.0,2,0,0,0
4403754801,37.10249495589235,-76.38843902107588,28.08054,-0.0,-0.34139642,0.44465765,-1.3945091,-0.08977795,1.2171801,1.8801997,0.0,2,0,0,0
4403955773,37.10249423227471,-76.38843808412933,28.316746,-0.0,-0.33329,0.43052453,-1.345641,-0.091873385,1.2170678,1.8802121,0.0,2,0,0,0
4404156512,37.10249350927432,-76.38843718202442,28.544384,-0.0,-0.2952239,0.34915552,-1.333962,-0.094043516,1.2170669,1.8802569,0.0,2,0,0,0
4404360548,37.1024928583505,-76.38843643141678,28.803925,-0.0,-0.23301044,0.27095678,-1.3225758,-0.09787515,1.2173964,1.8803813,0.0,2,0,0,0
