timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
4382896515,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
4412095394,2,-1,0,23,0,0,1,0,0,0,0,0,0,0
4412151561,2,0,1,23,0,0,1,0,0,0,0,0,0,0
4412215029,2,1,2,23,0,0,1,0,0,0,0,0,0,0
4412247597,2,2,3,23,0,0,1,0,0,0,0,0,0,0
4448251861,2,3,4,23,0,0,1,0,0,0,0,0,0,0
4448320393,2,4,5,23,0,0,1,0,0,0,0,0,0,0
4503527138,2,5,6,23,0,0,1,0,0,0,0,0,0,0
4514642149,2,6,7,23,0,0,1,0,0,0,0,0,0,0
4539660036,2,7,8,23,0,0,1,0,0,0,0,0,0,0
4572358995,2,8,9,23,0,0,1,0,0,0,0,0,0,0
4598982260,2,9,10,23,0,0,1,0,0,0,0,0,0,0
4638902301,2,10,11,23,0,0,1,0,0,0,0,0,0,0
4667086168,2,11,12,23,0,0,1,0,0,0,0,0,0,0
4678941704,2,12,19,23,13,1,1,0,0,0,0,0,1,0
4733148901,2,19,20,23,0,0,1,0,0,0,0,0,0,0
4733269381,2,20,21,23,0,0,1,0,0,0,0,0,0,0
4756258549,2,21,22,23,0,0,1,0,0,0,0,0,0,0
4803444276,2,22,22,23,0,0,1,0,1,0,0,0,0,0
