timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
4384791051,4384790882,0.03645874,0.034369268,-0.00085235963,0.51771057,0.0,0.0,0.0,-1.0
4384959864,4384959681,0.03725806,0.035932776,-0.002990052,0.55262035,0.0,0.0,0.0,-1.0
4385003821,4385003682,0.039250083,0.038500946,-0.0039873878,0.56100285,0.0,0.0,0.0,-1.0
4385043835,4385043682,0.034716472,0.029070204,0.0005518002,0.568786,0.0,0.0,0.0,-1.0
4385088661,4385088485,0.031637702,0.05216998,-0.013011402,0.5789406,0.0,0.0,0.0,-1.0
4385128674,4385128487,0.039901987,0.029017616,-0.00462491,0.5885838,0.0,0.0,0.0,-1.0
4385168671,4385168484,0.036603007,0.051981308,0.018087462,0.59552467,0.0,0.0,0.0,-1.0
4385212628,4385212488,0.04960953,0.05703709,0.0076045725,0.6062704,0.0,0.0,0.0,-1.0
4385256666,4385256481,0.05803415,0.041639257,-0.0065201395,0.61395705,0.0,0.0,0.0,-1.0
4385300689,4385300524,0.05458975,0.04210954,-0.0052505173,0.6245198,0.0,0.0,0.0,-1.0
4385341418,4385341282,0.039049603,0.037703063,0.0043878,0.6322828,0.0,0.0,0.0,-1.0
4385385611,4385385329,0.038901135,0.036165666,-0.0038781683,0.64247674,0.0,0.0,0.0,-1.0
4385425463,4385425282,0.035231978,0.037150428,-0.0030250254,0.65036577,0.0,0.0,0.0,-1.0
4385469447,4385469297,0.038936693,0.04017635,-0.0010913013,0.6611422,0.0,0.0,0.0,-1.0
4385509430,4385509281,0.04149355,0.044894204,-0.004609359,0.6701506,0.0,0.0,0.0,-1.0
4385553461,4385553283,0.046348393,0.040511943,-0.005305234,0.67933124,0.0,0.0,0.0,-1.0
4385593469,4385593288,0.035797883,0.027570933,-0.003688894,0.6867347,0.0,0.0,0.0,-1.0
4385634284,4385634092,-0.006019284,4.9006194e-05,-0.012044518,0.6944563,0.0,0.0,0.0,-1.0
4385674262,4385674088,-0.07127066,-0.037335705,-0.018621014,0.70233387,0.0,0.0,0.0,-1.0
4385714272,4385714081,-0.12582359,-0.058542486,-0.021967886,0.7096956,0.0,0.0,0.0,-1.0
