timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
4385178798,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4386190028,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4387197354,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4388200642,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4389211533,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4390218017,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4391228853,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4392241193,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4393251407,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4394258703,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4395266495,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4396274661,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4397280763,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4398287731,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4399294709,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4400298142,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4401306519,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4402311583,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4403318543,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4404325870,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4405329016,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4406336370,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4407347361,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4408352063,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4409357683,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4410365661,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4411371457,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4412203077,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4413210575,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4414220689,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4415232402,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4416234975,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4417235256,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4418241383,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4419244343,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4420252061,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4421259532,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4422270519,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4423273655,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4424276188,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4425278593,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4426285944,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4427293531,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4428304606,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4428593544,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4429604368,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4430611539,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4431619363,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4432630221,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4433636983,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4434649198,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4435659587,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4436670720,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4437673844,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4438681517,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4439691616,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4440699745,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4441710790,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4442721343,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4443729003,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4444731828,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4445734683,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4446747373,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4447757147,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4448255504,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
